name,price,type,efficiency,wattage,modular,color
be quiet! Straight Power 11,149.9,ATX,platinum,750,Full,Black
Thermaltake Toughpower GF3 TT Premium,199.99,ATX,gold,1200,Full,Black
Corsair RM750,244.95,ATX,gold,750,Full,Black
be quiet! System Power 10,188.0,ATX,bronze,750,False,Black
Aerocool Integrator,,ATX,bronze,500,False,Black
Thermaltake Toughpower GF1 Snow - TT Premium,122.99,ATX,gold,750,Full,White
EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,
be quiet! System Power 10,85.39,ATX,bronze,550,False,Black
EVGA GE,69.98,ATX,gold,600,False,Black
Silverstone Essential,105.92,ATX,bronze,550,False,Black
SeaSonic FOCUS PX,190.98,ATX,platinum,850,Full,Black
Corsair CX550 (2017),99.99,ATX,bronze,550,False,
EVGA SuperNOVA 850 G6,159.99,ATX,gold,850,Full,Black
Deepcool PQ1000M,159.99,ATX,gold,1000,Full,Black
Corsair TX550M Gold,,ATX,gold,550,Semi,
Corsair RM650 (2019),234.24,ATX,gold,650,Full,Black
Lian Li SP850,140.96,SFX,gold,850,Full,Black
Asus ROG LOKI,210.99,SFX,platinum,850,Full,Black / Silver
Super Flower Leadex III ARGB,168.68,ATX,gold,650,Full,White
EVGA 650 GQ,,ATX,gold,650,Semi,
EVGA 750 GQ,148.26,ATX,gold,750,Semi,
Corsair RM550x (2021),,ATX,gold,550,Full,Black
ADATA XPG CORE Reactor 650,99.99,ATX,gold,650,Full,Black
EVGA 600 BQ,159.99,ATX,bronze,600,Semi,
Asus TUF Gaming 750G,123.99,ATX,gold,750,Full,Black
Cooler Master V650 SFX GOLD,,SFX,gold,650,Full,Black
be quiet! System Power 9 500 CM,98.29,ATX,bronze,500,Semi,Black
Corsair AX1200i,657.73,ATX,platinum,1200,Full,
Thermaltake TOUGHPOWER GF A3,129.99,ATX,gold,850,Full,Black
SeaSonic PRIME Ultra Titanium,338.98,ATX,titanium,1000,Full,
be quiet! Pure Power 11,78.59,ATX,gold,500,False,Black
Thermaltake TOUGHPOWER GF A3,159.99,ATX,gold,1050,Full,Black
Cooler Master MWE Gold 650,,ATX,gold,650,Full,Black
Super Flower Leadex III ARGB,199.99,ATX,gold,850,Full,White
ADATA XPG CORE Reactor 750,109.99,ATX,gold,750,Full,Black
Cooler Master Elite V3,67.68,ATX,plus,600,False,Black
be quiet! Pure Power 12 M,94.9,ATX,gold,550,Full,Black
KOLINK Classic Power,,ATX,bronze,600,False,Black / Red
Gigabyte AORUS P GM,164.09,ATX,gold,750,Full,Black / Silver
Thermaltake Smart RGB 230V,168.0,ATX,plus,500,False,Black
EVGA 450 BR,,ATX,bronze,450,False,
EVGA SuperNOVA 650 G3,,ATX,gold,650,Full,
Super Flower Leadex,,ATX,platinum,2000,Full,
Cooler Master V650 V2,134.99,ATX,gold,650,Full,White
Thermaltake Toughpower GX1,80.36,ATX,gold,600,False,Black
SeaSonic FOCUS GX,176.61,ATX,gold,550,Full,Black
Thermaltake Toughpower GF3 TT Premium,126.99,ATX,gold,750,Full,Black
GameMax GP,,ATX,bronze,650,False,Black
Corsair RM850,226.99,ATX,gold,850,Full,Black
Corsair RM650x (2018),175.0,ATX,gold,650,Full,Black / Silver
SeaSonic FOCUS,146.99,ATX,gold,850,Semi,Black
ADATA XPG PYLON,,ATX,bronze,550,False,Black
Super Flower Leadex V Platinum Pro,249.99,ATX,platinum,850,Full,White
SeaSonic G12 GM,125.82,ATX,gold,650,Semi,Black / Blue
EVGA SuperNOVA 850 G2,355.99,ATX,gold,850,Full,
Thermaltake Toughpower GF3 TT Premium,241.21,ATX,gold,1350,Full,Black
Thermaltake TOUGHPOWER GF A3,179.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 750 G3,,ATX,gold,750,Full,
Cooler Master MasterWatt 550,84.99,ATX,bronze,550,Semi,
Silverstone SX300-B,,SFX,bronze,300,False,Black
Cooler Master MWE Bronze V2,,ATX,bronze,550,False,Black
EVGA SuperNOVA 1000 G5,207.5,ATX,gold,1000,Full,Black / Green
ARESGAME AGV,,ATX,bronze,750,Semi,Black
FSP Group Hydro GE,109.99,ATX,gold,650,Full,
Cooler Master MWE Bronze V2,,ATX,bronze,750,False,Black
be quiet! Pure Power 11 600,124.0,ATX,gold,600,Semi,Black
EVGA SuperNOVA 1000 G+,317.0,ATX,gold,1000,Full,Black
EVGA SuperNOVA 750 G6,139.28,ATX,gold,750,Full,Black
MSI MPG A1000G,,ATX,gold,1000,Full,Black
FSP Group Hydro GE,89.99,ATX,gold,550,Full,
EVGA SuperNOVA 650 P2,144.99,ATX,platinum,650,Full,
Fractal Design Ion Gold,154.29,ATX,gold,850,Full,Black
Enermax CYBERBRON,,ATX,bronze,500,False,Black / Silver
be quiet! Dark Power 13,209.9,ATX,titanium,750,Full,Black
Apevia Prestige,74.98,ATX,gold,1000,False,Black
Silverstone HELA 1200R,238.29,ATX,platinum,1200,Full,Black
Cooler Master MWE White V2 230V,,ATX,plus,700,False,Black
EVGA 750 BQ,,ATX,bronze,750,Semi,
Corsair SF600,,SFX,gold,600,Full,
Raidmax RX-530SS,49.99,ATX,,530,Semi,
Thermaltake TR2,,ATX,,500,False,
EVGA 650BP,74.99,ATX,bronze,650,False,Black
Segotep GM,,ATX,gold,750,Full,Black
Gigabyte P1000GM,,ATX,gold,1000,Full,Black
EVGA 500 BQ,114.99,ATX,bronze,500,Semi,
Corsair HX1000i,449.0,ATX,platinum,1000,Full,
Super Flower Leadex Platinum SE,169.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 850 G3,,ATX,gold,850,Full,
PowerSpec PS 650BSM,,ATX,bronze,650,Semi,Black
EVGA SuperNOVA 1000 P6,289.99,ATX,platinum,1000,Full,Black / Silver
Corsair RM850x,188.87,ATX,gold,850,Full,
Corsair CX550M (2021),,ATX,bronze,550,Semi,Black
PowerSpec PS 650BF,,ATX,bronze,650,False,Black
EVGA 500 GD,,ATX,gold,500,False,Black
SeaSonic PRIME Ultra Titanium,209.99,ATX,titanium,750,Full,
Corsair HX1200i,639.0,ATX,platinum,1200,Full,
EVGA SuperNOVA 850 G5,198.85,ATX,gold,850,Full,Black / Green
Cooler Master MWE Gold 1250 - V2,199.99,ATX,gold,1250,Full,Black
Corsair RM850x (2018),285.0,ATX,gold,850,Full,White / Black
Silverstone DA850 Gold,,ATX,gold,850,Full,Black / White
Phanteks Revolt SFX,183.99,SFX,platinum,850,Full,Black
Enermax REVOLUTION D.F. 2,129.99,ATX,gold,1050,Full,Black
EVGA SuperNOVA 750 P5,,ATX,platinum,750,Full,Black / Teal
Cooler Master Elite 400 V3,53.21,ATX,plus,400,False,Black
be quiet! SFX L Power,142.38,SFX,gold,500,Full,
Corsair TX650M,,ATX,gold,650,Semi,Black
EVGA 750 BP,89.99,ATX,bronze,750,False,Black
Corsair CX650F,169.99,ATX,bronze,650,Full,Black
Corsair CX600,178.41,ATX,bronze,600,False,
Asus TUF Gaming,,ATX,bronze,750,False,Black
MSI MPG A750G PCIE5,139.99,ATX,gold,750,Full,Black
Corsair SF450,229.99,SFX,gold,450,Full,
be quiet! Straight Power 11 850W,158.99,ATX,gold,850,Full,
EVGA SuperNOVA 450 GM,,SFX,gold,450,Full,Black
SeaSonic PRIME TX,696.0,ATX,titanium,1300,Full,Black / Silver
SeaSonic FOCUS Gold,99.99,ATX,gold,550,Semi,
Cooler Master V SFX Platinum,,SFX,platinum,1300,Full,Black
EVGA SuperNOVA 1600 G+,249.0,ATX,gold,1600,Full,Black
FSP Group Hydro G Pro,223.72,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 G6,110.0,ATX,gold,650,Full,Black
EVGA SuperNOVA 650 P5,127.99,ATX,platinum,650,Full,Black / Teal
Aerocool LUX RGB 750M (230V EU),,ATX,bronze,750,Semi,Black
Silverstone Strider Platinum S,216.63,ATX,platinum,1200,Full,Black
Deepcool PK650D,,ATX,bronze,650,False,Black
ADATA XPG PYLON,126.49,ATX,bronze,650,False,Black
GAMDIAS KRATOS M1 B,79.98,ATX,bronze,750,False,Black
be quiet! Pure Power 11,,ATX,gold,700,False,Black
Gigabyte AORUS P1200W,292.98,ATX,platinum,1200,Full,Black
Phanteks Revolt X,,ATX,platinum,1200,Full,Black / Silver
Corsair RM750x,186.53,ATX,gold,750,Full,
Thermaltake Toughpower GX1 500,,ATX,gold,500,False,Black
Corsair RM750,216.81,ATX,gold,750,Full,
be quiet! Dark Power Pro 12,,ATX,titanium,1200,Full,Black
Silverstone Strider,,ATX,bronze,500,False,
Enermax REVOLUTION D.F. 2,149.99,ATX,gold,1200,Full,Black
Fractal Design Ion+ 2 Platinum,326.0,ATX,platinum,860,Full,Black
SeaSonic FOCUS SGX (2021),169.99,SFX,gold,750,Full,Black
GameMax RGB Rainbow,,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 G2,,ATX,gold,650,Full,
Silverstone Strider,,ATX,gold,650,Full,
SeaSonic G12 GM,131.01,ATX,gold,750,Semi,Black / Blue
Corsair VS550 (2018),136.65,ATX,plus,550,False,
Thermaltake Toughpower TF1 - TT Premium,399.95,ATX,titanium,1550,Full,Black
KOLINK ENCLAVE,,ATX,gold,500,Full,Black / Yellow
Cougar POLAR,254.78,ATX,platinum,1200,Full,White
Asus ROG Strix,214.82,ATX,gold,650,Full,Black / Red
SeaSonic FOCUS SPX (2021),194.99,SFX,platinum,750,Full,Black
be quiet! Straight Power 11,,ATX,platinum,650,Full,Black
Deepcool DQ750-M-V2L,109.99,ATX,gold,750,Full,Black / Green
Asus TUF Gaming 650B,,ATX,bronze,650,False,Black
Silverstone Extreme 850R Platinum,233.92,SFX,platinum,850,Full,Black
GameMax GP,,ATX,bronze,500,False,Black
SeaSonic PRIME TX-850,387.8,ATX,titanium,850,Full,Black
be quiet! System Power 9 700 CM,163.41,ATX,bronze,700,Semi,Black
Corsair CXM,170.99,ATX,bronze,750,Semi,
Cooler Master V750 Gold i,129.99,ATX,gold,750,Full,Black / Gold
be quiet! SFX L Power,128.58,SFX,gold,600,Full,
SeaSonic FOCUS Plus Gold,,ATX,gold,1000,Full,Black
Raidmax XT,,ATX,,400,False,
MSI MPG A750GF WHITE,,ATX,gold,750,Full,White
EVGA SuperNOVA 650 GA,,ATX,gold,650,Full,Black
SeaSonic FOCUS,165.69,ATX,platinum,550,Full,Black
Cooler Master MWE GOLD 650 V2 FULL MODULAR,,ATX,gold,650,Full,Black
Corsair TX650M Gold,,ATX,gold,650,Semi,
EVGA 450 BV,,ATX,bronze,450,False,
Thermaltake Toughpower Grand RGB,149.02,ATX,gold,850,Full,
Silverstone FX350-G,91.36,Flex ATX,gold,350,False,Black
EVGA SuperNOVA 750 GA,,ATX,gold,750,Full,Black
be quiet! SFX Power 3 450,101.29,SFX,bronze,450,False,Black
Corsair RM550x (2018),,ATX,gold,550,Full,Black / Silver
Deepcool PK500D,,ATX,bronze,500,False,Black
Deepcool PK550D,,ATX,bronze,550,False,Black
Silverstone Essential,74.98,ATX,gold,550,False,Black / Yellow
Corsair SF450,218.49,SFX,platinum,450,Full,Black
Phanteks AMP v2,159.99,ATX,gold,1000,Full,Black
GameMax RGB Rainbow,,ATX,gold,550,Full,Black
EVGA SuperNOVA 1600 P2,304.99,ATX,platinum,1600,Full,
Corsair CX550M,197.83,ATX,bronze,550,Semi,
Asus ROG Strix,157.41,ATX,gold,550,Full,Black / Red
Fractal Design Ion SFX 500G,,SFX,gold,500,Full,Black
SeaSonic FOCUS Plus Platinum,149.98,ATX,platinum,650,Full,
Asus TUF Gaming B,79.98,ATX,bronze,450,False,Black
SeaSonic B12 BC,,ATX,bronze,650,False,
be quiet! Pure Power 11,88.59,ATX,gold,600,False,Black
Cooler Master V SFX Platinum,279.99,SFX,platinum,1100,Full,Black
Thermaltake Toughpower,108.99,ATX,gold,750,Semi,
Corsair CX600M,179.99,ATX,bronze,600,Semi,
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,White
Gigabyte AORUS P GM,,ATX,gold,850,Full,Black / Silver
Corsair VS650 (2018),464.99,ATX,plus,650,False,
Cooler Master G700,103.98,ATX,gold,700,False,Black
Cooler Master V850 V2,,ATX,gold,850,Full,White
EVGA SuperNOVA 1300 P+,357.68,ATX,platinum,1300,Full,Black
SeaSonic PRIME PX,336.29,ATX,platinum,1000,Full,Black / Silver
SeaSonic PRIME PX,414.99,ATX,platinum,1600,Full,Black / Silver
Cooler Master Elite V3,,ATX,,500,False,Black
Corsair CX750M V2 (2017 Edition),199.99,ATX,bronze,750,Semi,Black / White
Vetroo GV1000,159.99,ATX,gold,1000,Full,White
SeaSonic VERTEX GX-850,219.99,ATX,gold,850,Full,Black / Silver
Thermaltake Toughpower Grand RGB,130.99,ATX,gold,750,Full,
be quiet! Pure Power 11,,ATX,bronze,300,False,Black
Corsair TX750M,,ATX,gold,750,Semi,Black
Fractal Design Ion Gold,,ATX,gold,750,Full,Black
Cooler Master G500,89.99,ATX,gold,500,False,Black
Enermax Revolution D.F.,122.98,ATX,gold,650,Full,Black
Corsair CX500,299.99,ATX,bronze,500,False,
Corsair AX1000,,ATX,titanium,1000,Full,Black / Silver
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,
Super Flower Leadex III Gold,,ATX,gold,850,Full,Black
Super Flower Leadex III Super Pro,89.99,ATX,bronze,550,Full,Black
Thermaltake Smart Pro RGB,106.28,ATX,bronze,650,Full,
KOLINK Classic Power,,ATX,bronze,700,False,Black / Red
Deepcool PF500 230V,,ATX,plus,500,False,Black
be quiet! System Power 9 CM,140.09,ATX,bronze,400,Semi,Black
Fractal Design Ion+ 560P,,ATX,platinum,560,Full,Black
be quiet! Straight Power 11 550W,109.0,ATX,gold,550,Full,
Deepcool PQ850M,130.98,ATX,gold,850,Full,Black
SeaSonic FOCUS SGX,,SFX,gold,650,Full,Black
SeaSonic CORE GM,144.99,ATX,gold,650,Semi,Black
Super Flower Leadex III ARGB,178.68,ATX,gold,750,Full,White
Aerocool Integrator MOD XT,,ATX,bronze,750,Semi,Black / Red
Thermaltake Toughpower iRGB PLUS 1000 Platinum,,ATX,platinum,1000,Full,Black
Thermaltake Toughpower SFX,194.99,SFX,gold,850,Full,Black
EVGA SuperNOVA 850 P5,184.99,ATX,platinum,850,Full,Black / Teal
Cooler Master MWE Bronze,68.75,ATX,bronze,500,False,Black
Antec Signature,,ATX,titanium,1000,Full,Black / Silver
