name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i9-13900,559.99,24,2.0,5.6,65,Intel UHD Graphics 770,True
Intel Core i7-8700,313.0,6,3.2,4.6,65,Intel UHD Graphics 630,True
Intel Celeron E1400,,2,2.0,,65,,False
Intel Core i5-8400,185.0,6,2.8,4.0,65,Intel UHD Graphics 630,False
Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,True
Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,True
Intel Core i5-6600K,188.0,4,3.5,3.9,91,Intel HD Graphics 530,False
Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,True
AMD Ryzen 5 1600 (14nm),250.0,6,3.2,3.6,65,,True
AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,,True
Intel Core i5-6500,140.0,4,3.2,3.6,65,Intel HD Graphics 530,False
Intel Core i7-7700,245.0,4,3.6,4.2,65,Intel HD Graphics 630,True
AMD Threadripper 3970X,2300.98,32,3.7,4.5,280,,True
Intel Core i7-11700KF,260.0,8,3.6,5.0,125,,True
Intel Core i3-9100F,110.0,4,3.6,4.2,65,,False
Intel Core i7-11700F,223.57,8,2.5,4.9,65,,True
Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,True
Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False
Intel Core i7-6700,233.0,4,3.4,4.0,65,Intel HD Graphics 530,True
Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,True
AMD Ryzen 5 3600,,6,3.6,4.2,65,,True
AMD Ryzen 5 1600 (12nm),140.99,6,3.2,3.6,65,,True
AMD Threadripper 3960X,1483.0,24,3.8,4.5,280,,True
Intel Core i7-3770,143.0,4,3.4,,77,Intel HD Graphics 4000,True
Intel Core i5-8600K,245.0,6,3.6,4.3,95,Intel UHD Graphics 630,False
AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False
Intel Core i9-13900F,499.99,24,2.0,5.6,65,,True
Intel Core i7-4770,125.0,4,3.4,3.9,84,Intel HD Graphics 4600,True
Intel Core i5-12500,232.99,6,3.0,4.6,65,Intel UHD Graphics 770,True
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,False
Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False
Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False
Intel Core i9-9900KF,395.0,8,3.6,5.0,95,,True
AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True
AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,True
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,True
Intel Xeon E5-2699 V4,387.1,22,2.2,3.6,145,,True
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,True
AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,,True
Intel Core i5-3470,200.0,4,3.2,,77,Intel HD Graphics 2500,False
Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False
Intel Core i7-9700F,349.0,8,3.0,4.7,65,,False
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False
AMD Ryzen 9 3900X,,12,3.8,4.6,105,,True
AMD Ryzen 7 3700X,,8,3.6,4.4,65,,True
AMD FX-8350,,8,4.0,,125,,False
Intel Celeron G6900,72.45,2,3.4,,46,Intel UHD Graphics 710,False
AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,,True
