name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i5-2380P,,4,3.1,,95,,False
Intel Core i3-3240,116.69,2,3.4,,55,Intel HD Graphics 2500,True
Intel Core i7-980X Extreme Edition,153.64,6,3.33,,130,,True
Intel Core i5-7600K,,4,3.8,4.2,91,Intel HD Graphics 630,False
AMD FX-4350,122.96,4,4.2,,125,,False
Intel Xeon E3-1220 V3,90.0,4,3.1,3.5,80,,False
Intel Core i7-950,113.69,4,3.06,,130,,True
Intel Core i7-4770S,150.61,4,3.1,,65,Intel HD Graphics 4600,True
Intel Core i3-6300,89.01,2,3.8,,51,Intel HD Graphics 530,True
Intel Core i7-10700K Avengers Collector's Edition,389.88,8,3.8,5.1,125,Intel UHD Graphics 630,True
Intel Core i9-9980XE,1080.0,18,3.0,4.4,165,,True
Intel Xeon E5-1650 V3,148.51,6,3.5,3.8,140,,True
AMD A10-6800K,,4,4.1,,100,Radeon HD 8670D,False
Intel Xeon E5-1630 V4,499.95,4,3.7,4.0,140,,True
Intel Core i5-650,,2,3.2,,73,Intel HD Graphics,True
AMD A10-5800K,,4,3.8,,100,Radeon HD 7660D,False
AMD FX-9590,,8,4.7,5.0,220,,False
Intel Xeon E5-2640 V3,112.0,8,2.6,3.4,90,,True
Intel Xeon E3-1230 V2,271.85,4,3.3,,69,,True
Intel Core 2 Quad Q9650,,4,3.0,,95,,False
AMD Athlon 240GE,104.39,2,3.5,,35,Radeon Vega 3,True
Intel Xeon E5-2660 V3,142.62,10,2.6,3.3,105,,True
Intel Core 2 Duo E8500,,2,3.16,,65,,False
Intel Xeon E5-2650 V2,,8,2.6,3.4,95,,True
Intel Celeron G4920,79.95,2,3.2,,65,Intel UHD Graphics 610,False
Intel Core i5-2320,255.39,4,3.0,,95,Intel HD Graphics 2000,False
Intel Core i5-3350P,,4,3.1,,69,,False
Intel Core i5-4590S,,4,3.0,3.7,65,Intel HD Graphics 4000,False
Intel Celeron G3930,55.0,2,2.9,,51,Intel HD Graphics 610,False
Intel Core i7-4770K,241.42,4,3.5,3.9,84,Intel HD Graphics 4600,True
Intel Core i5-750,102.0,4,2.66,,95,,False
Intel Core i5-8500,,6,3.0,4.1,65,Intel UHD Graphics 630,False
Intel Xeon E5-1660 V3,398.95,8,3.0,3.5,140,,True
AMD Phenom II X4 955,,4,3.2,,125,,False
AMD Athlon II 160u,,1,1.8,,20,,False
Intel Core i5-760,219.0,4,2.8,,95,,False
Intel Xeon E5-1650 V4,,6,3.6,4.0,140,,True
Intel Core i9-10850K,,10,3.6,5.2,125,Intel UHD Graphics 630,True
Intel Xeon E5-2695 V2,369.99,12,2.4,3.2,115,,True
Intel Xeon E5-2697 V3,,14,2.6,3.6,145,,True
Intel Core i7-4771,,4,3.5,3.9,84,Intel HD Graphics 4600,True
AMD Ryzen 3 1200 (12nm),,4,3.1,3.4,65,,False
Intel Core i7-5775C,220.0,4,3.3,3.7,65,Iris Pro Graphics 6200,True
Intel Core i7-3770S,183.0,4,3.1,,65,Intel HD Graphics 4000,True
Intel Core i7-990X Extreme Edition,,6,3.467,,130,,True
Intel Core i5-9400,,6,2.9,4.1,65,Intel UHD Graphics 630,False
Intel Pentium E5700,,2,3.0,,65,,False
Intel Core i3-4370,96.95,2,3.8,,54,Intel HD Graphics 4600,True
Intel Xeon E3-1245 V5,,4,3.5,3.9,80,Intel HD Graphics P530,True
Intel Pentium E2200,,2,2.2,,65,,False
Intel Xeon E5-2630 V3,,8,2.4,3.2,85,,True
Intel Core i5-10600K,,6,4.1,4.8,125,Intel UHD Graphics 630,True
Intel Pentium G4600,,2,3.6,,51,Intel HD Graphics 630,True
Intel Core i9-9900T,,8,2.1,4.4,35,Intel UHD Graphics 630,True
Intel Core i7-940,78.67,4,2.93,,130,,True
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,False
Intel Core 2 Extreme QX6800,998.95,4,2.93,,100,,False
Intel Xeon E5-1660 V2,504.07,6,3.7,4.0,130,,True
AMD FX-4100,,4,3.6,,95,,False
Intel Core i5-3470S,,4,2.9,,65,Intel HD Graphics 2500,False
Intel Pentium G3220,,2,3.0,,54,Intel HD Graphics,False
Intel Pentium G2030,,2,3.0,,55,Intel HD Graphics,False
AMD A10-7890K,,4,4.1,4.3,95,Radeon R7 (on-die),False
Intel Core i3-10320,159.18,4,3.8,4.6,65,Intel UHD Graphics 630,True
Intel Xeon E-2136,399.99,6,3.3,4.5,80,,True
AMD FX-6350,,6,3.9,,125,,False
Intel Xeon E5-1650 V2,242.6,6,3.5,3.9,130,,True
Intel Core i3-6100,209.95,2,3.7,,51,Intel HD Graphics 530,True
Intel Xeon E5-2698 V4,,20,2.2,3.6,135,,True
AMD A6-6400K,95.0,2,3.9,,65,Radeon HD 8470D,False
Intel Core i5-7500T,199.95,4,2.7,3.3,35,Intel HD Graphics 630,False
Intel Core i5-4570S,163.93,4,2.9,,65,Intel HD Graphics 4600,False
Intel Core i3-3250,74.98,2,3.5,,55,Intel HD Graphics 2500,True
Intel Pentium E5300,59.49,2,2.6,,65,,False
Intel Core i3-8300,,4,3.7,,62,Intel UHD Graphics 630,False
Intel Xeon E5-2670,,8,2.6,3.3,115,,True
Intel Xeon E5-2683 V4,870.5,16,2.1,3.0,120,,True
AMD FX-8150,,8,3.6,,125,,False
Intel Core i9-10850KA Avengers Limited Edition,,10,3.6,5.2,125,Intel UHD Graphics 630,True
Intel Core 2 Extreme QX9770,,4,3.2,,136,,False
Intel Core i5-4690K,,4,3.5,3.9,88,Intel HD Graphics 4600,False
AMD A10-5700,68.02,4,3.4,,65,Radeon HD 7660D,False
Intel Celeron 430,,1,1.8,,35,,False
Intel Core 2 Duo E7500,155.28,2,2.93,,65,,False
Intel Core i3-4130T,77.14,2,2.9,,35,Intel HD Graphics 4400,True
Intel Xeon E5-2680 V2,,10,2.8,3.6,115,,True
AMD Phenom II X6 1055T,,6,2.8,,125,,False
AMD FX-8120,,8,3.1,,125,,False
AMD FX-8320E,,8,3.2,4.0,95,,False
Intel Xeon E5-2640 V4,998.95,10,2.4,3.4,90,,True
Intel Xeon E5-2697 V4,,18,2.3,3.6,145,,True
Intel Core i3-9300,248.0,4,3.7,4.3,62,Intel UHD Graphics 630,False
Intel Core i7-4770K,205.86,4,3.5,3.9,84,Intel HD Graphics 4600,True
Intel Core i5-4440S,123.85,4,2.8,3.3,65,Intel HD Graphics 4600,False
Intel Xeon E5-2690 V3,,12,2.6,3.5,135,,True
Intel Core i5-8400T,,6,1.7,3.3,35,Intel UHD Graphics 630,False
Intel Core i5-4570T,128.8,2,2.9,,35,Intel HD Graphics 4600,True
Intel Core i9-7900X,1498.95,10,3.3,4.5,140,,True
Intel Core i7-3970X Extreme Edition,239.87,6,3.5,,150,,True
Intel Xeon E3-1230 V3,325.86,4,3.3,3.7,80,,True
AMD A8-7650K,,4,3.3,3.7,95,Radeon R7 (on-die),False
AMD A10-7700K,132.86,4,3.4,3.8,95,Radeon R7 (on-die),False
AMD Athlon II X4 630,52.6,4,2.8,,95,,False
Intel Core i7-3960X Extreme Edition,782.9,6,3.3,,130,,True
Intel Celeron G1610,,2,2.6,,55,Intel HD Graphics,False
Intel Core i5-2300,,4,2.8,,95,Intel HD Graphics 2000,False
Intel Core i9-9820X,,10,3.3,4.1,165,,True
Intel Core i5-9600K,,6,3.7,4.6,95,Intel UHD Graphics 630,False
Intel Pentium Gold G6500,89.99,2,4.1,,58,Intel UHD Graphics 630,True
Intel Core 2 Extreme QX9650,152.52,4,3.0,,130,,False
Intel Core i7-930,271.69,4,2.8,,130,,True
Intel Core i7-960,379.99,4,3.2,,130,,True
AMD Phenom II X6 1100T Black,,6,3.3,,125,,False
AMD A8-5500,,4,3.2,,65,Radeon HD 7560D,False
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,True
AMD Athlon X4 880K,,4,4.0,4.2,95,,False
Intel Core i3-7100,185.04,2,3.9,,51,Intel HD Graphics 630,True
Intel Xeon E-2278G,,8,3.4,5.0,80,Intel HD Graphics P630,True
Intel Pentium G3420,62.25,2,3.2,,54,Intel HD Graphics,False
AMD Ryzen 7 1800X,,8,3.6,4.0,95,,True
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,65,Radeon,True
AMD FX-8370,360.31,8,4.0,4.3,125,,False
Intel Celeron E3400,,2,2.6,,65,,False
Intel Core 2 Duo E7300,28.2,2,2.66,,65,,False
AMD A10-7870K,324.6,4,3.9,4.1,95,Radeon R7 (on-die),False
Intel Xeon E5-2683 V4,1969.95,16,2.1,3.0,120,,True
Intel Core i3-4160,,2,3.6,,54,Intel HD Graphics 4400,True
Intel Xeon E5-2630 V3,169.95,8,2.4,3.2,85,,True
Intel Core i3-6098P,81.63,2,3.6,,54,Intel HD Graphics 510,True
Intel Core i5-7600,,4,3.5,4.1,65,Intel HD Graphics 630,False
Intel Pentium Gold G5400T,98.95,2,3.1,,35,Intel UHD Graphics 610,True
Intel Core i9-9900,,8,3.1,5.0,65,Intel UHD Graphics 630,True
Intel Core i3-9100T,,4,3.1,3.7,35,Intel UHD Graphics 630,False
Intel Core i5-3340,278.02,4,3.1,3.3,77,Intel HD Graphics 2500,False
Intel Core i7-7700T,383.0,4,2.9,3.8,35,Intel HD Graphics 630,True
AMD Phenom II X4 820,56.64,4,2.8,,95,,False
Intel Core i3-3210,199.0,2,3.2,,55,Intel HD Graphics 2500,True
Intel Xeon E3-1270 V3,420.0,4,3.5,3.9,80,,True
Intel Core 2 Quad Q9400,,4,2.66,,95,,False
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,False
AMD A10-7860k,,4,3.6,4.0,65,Radeon R7 (on-die),False
Intel Core i5-4460S,,4,2.9,3.4,65,Intel HD Graphics 4000,False
Intel Core i5-7400T,,4,2.4,3.0,35,Intel HD Graphics 630,False
AMD A12-9800E,138.02,4,3.1,3.8,35,Radeon R7 (on-die),False
Intel Core i7-7740X,295.57,4,4.3,4.5,112,,True
Intel Core i5-3450S,95.0,4,2.8,,65,Intel HD Graphics 2500,False
AMD A6-7470K,89.0,2,3.7,4.0,65,Radeon R5 (on die),False
AMD A8-5600K,,4,3.6,,100,Radeon HD 7560D,False
AMD A6-5400K,,2,3.6,,65,Radeon HD 7540D,False
Intel Xeon E5-2690 V2,,10,3.0,3.6,130,,True
Intel Core i9-7940X,,14,3.1,4.4,165,,True
Intel Core i3-7320,80.01,2,4.1,,51,Intel HD Graphics 630,True
Intel Core i9-9960X,1399.99,16,3.1,4.4,165,,True
Intel Xeon E5-2643 V4,310.0,6,3.4,3.7,135,,True
Intel Xeon E5-2660,,8,2.2,3.0,95,,True
AMD Athlon 200GE,,2,3.2,,35,Radeon Vega 3,True
Intel Core 2 Duo E8600,,2,3.33,,65,,False
Intel Xeon E5-2670 V2,,10,2.5,3.3,115,,True
Intel Core i5-9500T,,6,2.2,3.7,35,Intel UHD Graphics 630,False
Intel Xeon E3-1240 V2,345.0,4,3.4,,69,,True
AMD Athlon 3000G (14nm),,2,3.5,,35,Radeon Vega 3,True
Intel Core i7-970,,6,3.2,,130,,True
Intel Core i5-6600T,294.98,4,2.7,3.5,35,Intel HD Graphics 530,False
Intel Xeon E3-1240 V5,265.0,4,3.5,3.9,80,,True
Intel Core i3-8100T,,4,3.1,,35,Intel UHD Graphics 630,False
AMD Threadripper 2990WX,,32,3.0,4.2,250,,True
Intel Core i5-4590T,,4,2.0,,35,Intel HD Graphics 4000,True
AMD Ryzen 5 PRO 7645,,6,3.8,5.1,65,Radeon,True
Intel Core i7-4790T,185.86,4,2.7,3.9,45,,True
Intel Xeon E5-2680 V3,,12,2.5,3.3,120,,True
AMD FX-8350,,8,4.0,,125,,False
Intel Celeron G3920,495.09,2,2.6,,35,Intel HD Graphics 510,False
Intel Core i7-2600S,365.0,4,2.8,,65,Intel HD Graphics 2000,True
Intel Xeon E3-1241 V3,298.0,4,3.5,3.9,80,,True
Intel Core i5-4690,147.91,4,3.5,3.9,84,Intel HD Graphics 4600,False
Intel Core i3-7100T,105.97,2,3.4,,35,Intel HD Graphics 630,True
Intel Core i9-9940X,1205.04,14,3.3,4.4,165,,True
AMD Athlon II X2 250,,2,3.0,,65,,False
Intel Core i3-550,99.99,2,3.2,,73,Intel HD Graphics,True
Intel Core i3-2130,,2,3.4,,65,Intel HD Graphics 2000,True
Intel Xeon E5-1620 V2,,4,3.7,3.9,130,,True
Intel Core i7-5820K,,6,3.3,3.6,140,,True
Intel Core i5-5675C,,4,3.1,3.6,65,Iris Pro Graphics 6200,False
Intel Xeon E5-2630 V4,478.79,10,2.2,3.1,85,,True
Intel Core i9-7980XE,1698.95,18,2.6,4.4,165,,True
Intel Core 2 Extreme QX9775,1495.0,4,3.2,,150,,False
Intel Core i5-2310,,4,2.9,,95,Intel HD Graphics 2000,False
AMD A8-6500,,4,3.5,,65,Radeon HD 8570D,False
Intel Xeon E3-1271 V3,,4,3.6,4.0,80,,True
Intel Xeon E5-1620,,4,3.6,3.8,130,,True
AMD Opteron 6378,,16,2.4,3.3,115,,False
Intel Xeon E5-2695 V4,,18,2.1,3.3,120,,True
Intel Core i9-9900X,,10,3.5,4.4,165,,True
AMD A8-7680,,4,3.5,3.8,65,Radeon R7 (on-die),False
AMD Athlon II X4 640,74.79,4,3.0,,95,,False
Intel Xeon E5-2470V2,529.95,10,2.4,3.2,95,,True
Intel Pentium G3460,54.49,2,3.5,,53,Intel HD Graphics,False
AMD Phenom II X4 955 Black,,4,3.2,,125,,False
Intel Core i7-875K,205.86,4,2.93,,95,,True
Intel Core i5-2550K,,4,3.4,,95,,False
Intel Core i7-4790K,,4,4.0,4.4,88,Intel HD Graphics 4600,True
Intel Pentium G4560,,2,3.5,,54,Intel HD Graphics 610,True
Intel Core i7-5775C,905.0,4,3.3,3.7,65,Iris Pro Graphics 6200,True
Intel Core i7-980,556.02,6,3.333,,130,,True
Intel Xeon E5-2620 V2,,6,2.1,2.6,80,,True
AMD FX-8320,106.55,8,3.5,,125,,False
Intel Core i5-7600T,147.91,4,2.8,3.7,35,Intel HD Graphics 630,False
AMD Phenom II X4 945,,4,3.0,,125,,False
AMD A6-3500,,3,2.1,,65,Radeon HD 6530D,False
Intel Core i5-4690S,,4,3.2,3.9,65,Intel HD Graphics 4600,False
Intel Xeon E5-2667 V2,,8,3.3,4.0,130,,True
AMD A6-9500E,,2,3.0,3.4,35,Radeon R5 (on die),False
Intel Xeon E5-2650L V4,,14,1.7,2.5,65,,True
Intel Core i5-3570,,4,3.4,,77,Intel HD Graphics 2500,False
AMD Threadripper 2950X,,16,3.5,4.4,180,,True
AMD A6-7480,,2,3.5,3.8,65,Radeon R5 (on die),False
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False
Intel Pentium Gold G6600,66.0,2,4.2,,58,Intel UHD Graphics 630,True
AMD Athlon X4 845,150.0,4,3.5,3.8,65,,False
AMD A10-6700,112.76,4,3.7,,65,Radeon HD 8670D,False
Intel Core i3-4330,96.95,2,3.5,,54,Intel HD Graphics 4600,True
AMD A10-9700E,,4,3.0,3.5,35,Radeon R7 (on-die),False
Intel Core i5-8600,283.58,6,3.1,4.3,65,Intel UHD Graphics 630,False
AMD Phenom II X6 1045T,,6,2.7,,95,,False
AMD Ryzen 7 1800X,,8,3.6,4.0,95,,True
Intel Core i5-9500,,6,3.0,4.4,65,Intel UHD Graphics 630,False
Intel Celeron G5920,59.97,2,3.5,,58,Intel UHD Graphics 610,False
Intel Core i3-560,129.94,2,3.333,,73,Intel HD Graphics,True
Intel Xeon E3-1260L V5,,4,2.9,3.9,45,,True
Intel Xeon E3-1225 V3,381.02,4,3.2,3.6,84,Intel HD Graphics P4600,False
Intel Xeon E-2236,435.0,6,3.4,4.8,80,,True
Intel Celeron G4930,96.0,2,3.2,,54,Intel UHD Graphics 610,False
Intel Core 2 Quad Q6600,197.1,4,2.4,,100,,False
Intel Pentium G620,,2,2.6,,65,Intel HD Graphics,False
AMD A8-3870K,,4,3.0,,100,Radeon HD 6550D,False
AMD Athlon X4 760K,,4,3.8,4.1,100,,False
AMD FX-4300,,4,3.8,,95,,False
Intel Xeon E3-1240L V5,,4,2.1,3.2,25,,True
Intel Core i5-7400T,189.65,4,2.4,3.0,35,Intel HD Graphics 630,False
Intel Core i5-3570S,,4,3.1,3.8,65,Intel HD Graphics 2500,False
Intel Xeon E-2288G,,8,3.7,5.0,95,Intel HD Graphics P630,True
Intel Core 2 Duo E6400,35.0,2,2.13,,65,,False
Intel Xeon E5-2630 V2,,6,2.6,3.1,80,,True
Intel Celeron 430,64.77,1,1.8,,35,,False
Intel Xeon E5-2660 V2,,10,2.2,3.0,95,,True
Intel Core i3-6100T,289.95,2,3.2,,35,Intel HD Graphics 530,True
Intel Core i3-2120T,,2,2.6,,35,Intel HD Graphics 2000,True
Intel Xeon E3-1270 V2,,4,3.5,,69,,True
Intel Xeon E3-1265L V3,398.95,4,2.5,3.7,45,Intel HD Graphics,True
Intel Core i3-6300T,90.03,2,3.3,,35,Intel HD Graphics 530,True
Intel Core i3-6320,106.6,2,3.9,,51,Intel HD Graphics 530,True
Intel Core 2 Quad Q8400,149.99,4,2.66,,95,,False
Intel Core i3-4340,94.88,2,3.6,,54,Intel HD Graphics 4600,True
AMD A10-6790K,,4,4.0,4.3,100,Radeon HD 8670D,False
AMD A4-6300B,49.95,2,3.7,3.9,65,Radeon HD 8370D,False
Intel Xeon E3-1246 V3,,4,3.5,3.9,84,Intel HD Graphics P4600,True
Intel Xeon E5-2650L V2,,10,1.7,2.1,70,,True
AMD Athlon X4 870K,,4,3.9,4.1,95,,False
AMD A4-3300,76.86,2,2.5,,65,Radeon HD 6410D,False
Intel Pentium G3250,65.72,2,3.2,,53,Intel HD Graphics,False
Intel Xeon E3-1245 V6,629.95,4,3.7,4.1,73,Intel HD Graphics P630,True
Intel Core i3-540,149.94,2,3.06,,73,Intel HD Graphics,True
Intel Core i7-975 Extreme Edition,,4,3.33,,130,,True
AMD 5150,,4,1.6,,25,Radeon HD 8400,False
Intel Xeon E5-2690,,8,2.9,3.8,135,,True
Intel Core i7-9700T,,8,2.0,4.3,35,Intel HD Graphics 630,False
AMD A10-5800K,82.51,4,3.8,,100,Radeon HD 7660D,False
Intel Core i7-5960X,,8,3.0,3.5,140,,True
Intel Core i9-9920X,,12,3.5,4.4,165,,True
Intel Xeon E-2286G,1427.23,6,4.0,4.9,95,Intel HD Graphics P630,True
Intel Core i7-920,,4,2.66,,130,,True
AMD Athlon II X3 450,,3,3.2,,95,,False
Intel Xeon E3-1220 V2,,4,3.1,,69,,False
Intel Xeon E3-1275 V2,374.0,4,3.5,,77,Intel HD Graphics P4000,True
Intel Core i5-6400T,,4,2.2,2.8,35,Intel HD Graphics 530,False
Intel Xeon E3-1270 V5,,4,3.6,4.0,80,,True
Intel Xeon E-2176G,,6,3.7,4.7,80,Intel HD Graphics P630,True
Intel Core 2 Duo E6550,149.94,2,2.33,,65,,False
Intel Core i5-3330S,229.95,4,2.7,3.2,65,Intel HD Graphics 2500,False
Intel Xeon E-2104G,336.75,4,3.2,,65,Intel HD Graphics P630,False
Intel Xeon E-2274G,567.99,4,4.0,4.9,83,Intel HD Graphics P630,True
AMD Athlon II X4 620,59.49,4,2.6,,95,,False
AMD A8-3850,80.0,4,2.9,,100,Radeon HD 6550D,False
Intel Pentium G4600,229.95,2,3.6,,51,Intel HD Graphics 630,True
Intel Pentium E2140,79.95,2,1.6,,65,,False
Intel Core 2 Extreme QX6850,449.95,4,3.0,,130,,False
Intel Core i3-3225,,2,3.3,,55,Intel HD Graphics 4000,True
AMD A4-5300,,2,3.4,,65,Radeon HD 7480D,False
AMD FX-4130,,4,3.8,,125,,False
Intel Xeon E5-2687W,,8,3.1,3.8,150,,True
Intel Core i3-3245,115.0,2,3.4,,55,Intel HD Graphics 4000,True
Intel Xeon E5-1650,,6,3.2,3.8,130,,True
Intel Xeon E5-2650L,189.95,8,1.8,2.3,70,,True
Intel Xeon E5-1650 V4,,6,3.6,4.0,140,,True
Intel Pentium G4620,,2,3.7,,51,Intel HD Graphics 630,True
Intel Core i3-7300,,2,4.0,,51,Intel HD Graphics 630,True
Intel Core i5-8600T,,6,2.3,3.7,35,Intel UHD Graphics 630,False
Intel Core i9-9900X,1229.95,10,3.5,4.4,165,,True
AMD Athlon 220GE,,2,3.4,,35,Radeon Vega 3,True
AMD Athlon 240GE,,2,3.5,,35,Radeon Vega 3,True
Intel Celeron 440,,1,2.0,,35,,False
Intel Core i5-750,398.0,4,2.66,,95,,False
Intel Core 2 Quad Q9550,165.51,4,2.83,,95,,False
Intel Core i3-2105,,2,3.1,,65,Intel HD Graphics 3000,True
Intel Xeon E3-1225 V5,295.0,4,3.3,3.7,80,Intel HD Graphics P530,False
Intel Core 2 Duo E8400,179.81,2,3.0,,65,,False
Intel Pentium G630,,2,2.7,,65,Intel HD Graphics,False
Intel Pentium G3240,,2,3.1,,53,Intel HD Graphics,False
Intel Core 2 Quad Q8200,,4,2.33,,95,,False
Intel Core 2 Quad Q8300,,4,2.5,,95,,False
AMD Athlon II X2 270,,2,3.4,,65,,False
Intel Celeron G1620,,2,2.7,,55,Intel HD Graphics,False
Intel Xeon E3-1240 V3,,4,3.4,3.8,80,,True
AMD FX-9590,,8,4.7,5.0,220,,False
Intel Xeon E5-4650,,8,2.7,3.3,130,,True
Intel Xeon E5-2650 V3,,10,2.3,3.0,105,,True
Intel Core i3-6100T,,2,3.2,,35,Intel HD Graphics 530,True
AMD Threadripper 2970WX,,24,3.0,4.2,250,,True
Intel Core i3-10325,,4,3.9,4.7,65,Intel UHD Graphics 630,True
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,65,Radeon,True
Intel Pentium Gold G6600,154.71,2,4.2,,58,Intel UHD Graphics 630,True
Intel Core i7-965 Extreme Edition,798.95,4,3.2,,130,,True
Intel Xeon E5-2660 V3,203.94,10,2.6,3.3,105,,True
Intel Core i7-6800K,255.86,6,3.4,3.6,140,,True
Intel Core i5-7600T,229.95,4,2.8,3.7,35,Intel HD Graphics 630,False
Intel Core i9-9960X,,16,3.1,4.4,165,,True
AMD Phenom II X4 925,,4,2.8,,95,,False
AMD Phenom II X4 940 Black,,4,3.0,,125,,False
Intel Core 2 Duo E7400,,2,2.8,,65,,False
AMD Athlon X4 740,,4,3.2,,65,,False
Intel Xeon E5-2670,184.93,8,2.6,3.3,115,,True
Intel Core i7-3770T,,4,2.5,3.7,45,Intel HD Graphics 4000,True
Intel Celeron G3900,,2,2.8,,51,Intel HD Graphics 510,False
Intel Core i5-9400,,6,2.9,4.1,65,Intel UHD Graphics 630,False
Intel Celeron G5905T,,2,3.3,,35,Intel UHD Graphics 610,False
AMD Opteron 6328,715.11,8,3.2,3.8,115,,False
AMD Athlon II X4 635,63.14,4,2.9,,95,,False
Intel Xeon E5-2620,58.0,6,2.0,,95,,True
Intel Xeon E3-1220 V6,360.0,4,3.0,3.5,72,,False
Intel Core 2 Duo E4500,,2,2.2,,65,,False
Intel Core i7-870,235.02,4,2.93,,95,,True
AMD Sempron 145,,1,2.8,,45,,False
AMD FX-6200,,6,3.8,,125,,False
AMD A4-4000,,2,3.0,,65,Radeon HD 7480D,False
AMD Athlon X4 750K,,4,3.4,,100,,False
Intel Core i3-4360,,2,3.7,,54,Intel HD Graphics 4600,True
AMD FX-8370E,,8,3.3,4.3,95,,False
Intel Core i5-4670S,533.0,4,3.1,3.8,65,Intel HD Graphics 4600,False
Intel Core i7-6900K,305.86,8,3.2,3.7,140,,True
Intel Pentium G4560T,79.98,2,2.9,,35,Intel HD Graphics 610,True
Intel Pentium Gold G5600,,2,3.9,,54,Intel UHD Graphics 630,True
Intel Core i5-9400T,,6,1.8,3.4,35,Intel UHD Graphics 630,False
AMD FX-4350,108.02,4,4.2,,125,,False
Intel Xeon E3-1275 V6,356.83,4,3.8,4.2,73,Intel HD Graphics P630,True
AMD Athlon II X3 435,159.94,3,2.9,,95,,False
Intel Core i3-3220T,138.0,2,2.8,,35,Intel HD Graphics 2500,True
Intel Core i5-4570S,,4,2.9,,65,Intel HD Graphics 4600,False
Intel Core i9-9940X,,14,3.3,4.4,165,,True
AMD Athlon II X2 260,,2,3.2,,65,,False
AMD Phenom II X2 555 Black,,2,3.2,,80,,False
AMD Athlon II X4 630,,4,2.8,,95,,False
Intel Pentium E5200,,2,2.5,,65,,False
Intel Core i5-660,255.29,2,3.33,,73,Intel HD Graphics,True
Intel Core i7-880,,4,3.06,,95,,True
Intel Core 2 Quad Q9505,249.95,4,2.83,,95,,False
Intel Pentium E6700,,2,3.2,,65,,False
AMD FX-8300,,8,3.3,,95,,False
Intel Xeon E3-1220,115.01,4,3.1,,80,,False
Intel Xeon E3-1230,417.95,4,3.2,,80,,True
Intel Xeon E5-2687W V2,,8,3.4,4.0,150,,True
Intel Celeron G1840,,2,2.8,,53,Intel HD Graphics,False
Intel Pentium G3450,,2,3.4,,53,Intel HD Graphics,False
Intel Xeon E5-2687W V3,,10,3.1,3.5,160,,True
AMD A10-7870K,,4,3.9,4.1,95,Radeon R7 (on-die),False
Intel Xeon E3-1220 V5,,4,3.0,3.5,80,,False
Intel Core i7-6850K,,6,3.6,3.8,140,,True
Intel Core i7-7800X,,6,3.5,4.0,140,,True
Intel Core i3-8350K,,4,4.0,,91,Intel UHD Graphics 630,False
AMD Athlon II X2 220,64.49,2,2.8,,65,,False
AMD Phenom II X4 830,59.58,4,2.8,,95,,False
Intel Celeron G530,65.86,2,2.4,,65,Intel HD Graphics,False
AMD A10-6700,78.02,4,3.7,,65,Radeon HD 8670D,False
AMD A4-7300,268.64,2,3.8,4.0,65,Radeon HD 8470D,False
Intel Core 2 Extreme QX6700,605.64,4,2.66,,100,,False
Intel Xeon E3-1245 V2,367.5,4,3.4,,77,Intel HD Graphics P4000,True
Intel Xeon E5-2630L V3,410.0,8,1.8,2.9,55,,True
Intel Xeon E-2134,,4,3.5,4.5,71,,True
Intel Core 2 Duo E8500,,2,3.16,,65,,False
Intel Core i5-661,99.5,2,3.33,,87,Intel HD Graphics,True
Intel Core i7-860,,4,2.8,,95,,True
AMD Phenom II X4 940 Black,,4,3.0,,125,,False
AMD Phenom II X4 970 Black,,4,3.5,,125,,False
AMD Sempron 140,,1,2.7,,45,,False
Intel Pentium E5800,,2,3.2,,65,,False
AMD Phenom II X4 960T Black,,4,3.0,,95,,False
AMD A8-3850,,4,2.9,,100,Radeon HD 6550D,False
AMD Athlon II X4 645,,4,3.1,,95,,False
AMD FX-4170,,4,4.2,,125,,False
Intel Pentium G645,84.0,2,2.9,,65,Intel HD Graphics 2500,False
Intel Xeon E3-1270,,4,3.4,,80,,True
Intel Xeon E3-1245 V3,,4,3.4,3.8,84,Intel HD Graphics P4600,True
AMD FX-4100,,4,3.6,,95,,False
AMD Athlon X4 840,,4,3.1,3.8,65,,False
Intel Xeon E5-2640 V3,415.49,8,2.6,3.4,90,,True
AMD Athlon 5370,,4,2.2,,25,Radeon R3 (on die),False
Intel Xeon E3-1240 V6,312.83,4,3.7,4.1,72,,True
Intel Xeon E3-1285 V6,949.95,4,4.1,4.5,79,Intel HD Graphics 630,True
Intel Core i5-9400,,6,2.9,4.1,65,Intel UHD Graphics 630,False
Intel Core i5-9600,,6,3.1,4.6,65,Intel UHD Graphics 630,False
Intel Xeon E-2276G,,6,3.8,4.9,80,Intel HD Graphics P630,True
Intel Xeon E-2236,446.95,6,3.4,4.8,80,,True
Intel Pentium E6500,95.71,2,2.93,,65,,False
Intel Xeon E5-2609,57.99,4,2.4,,80,,False
Intel Xeon E5-2640,93.99,6,2.5,3.0,95,,True
Intel Xeon E5-2643 V3,555.44,6,3.4,3.7,135,,True
