name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Delta RGB 32 GB,84.99,"[5, 6000]","[2, 16]",2.656,White,12.667,38.0
G.Skill Trident Z5 RGB 64 GB,289.99,"[5, 6800]","[2, 32]",4.531,Black,10.0,34.0
Corsair Vengeance RGB RT 256 GB,1379.99,"[4, 3600]","[8, 32]",5.391,Black,10.0,18.0
TEAMGROUP T-Create Expert 32 GB,48.99,"[4, 3200]","[2, 16]",1.531,Gray,10.0,16.0
G.Skill Trident Z Neo 32 GB,109.99,"[4, 3600]","[2, 16]",3.437,Black / Silver,8.889,16.0
Kingston FURY Beast 16 GB,71.98,"[5, 6000]","[2, 8]",4.499,Black,13.333,40.0
Corsair Vengeance RGB Pro 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,Black,10.0,18.0
Corsair Vengeance RGB 32 GB,99.99,"[5, 5600]","[2, 16]",3.125,Black / Gray,12.857,36.0
G.Skill Ripjaws V 32 GB,59.99,"[4, 3600]","[2, 16]",1.875,Black,10.0,18.0
Corsair Vengeance LPX 16 GB,39.99,"[4, 3200]","[2, 8]",2.499,Black,10.0,16.0
Corsair Vengeance RGB 32 GB,114.99,"[5, 5200]","[2, 16]",3.593,White,15.385,40.0
G.Skill Trident Z RGB 64 GB,149.99,"[4, 3600]","[2, 32]",2.344,Black,10.0,18.0
G.Skill Flare X5 32 GB,104.99,"[5, 6000]","[2, 16]",3.281,Black,10.667,32.0
Kingston FURY Beast RGB 32 GB,143.99,"[5, 6000]","[2, 16]",4.5,Black,12.0,36.0
Corsair Vengeance 64 GB,166.99,"[5, 5600]","[2, 32]",2.609,Black,14.286,40.0
Kingston FURY Beast 32 GB,74.98,"[4, 3200]","[2, 16]",2.343,Black,10.0,16.0
G.Skill Ripjaws S5 32 GB,94.99,"[5, 6000]","[2, 16]",2.968,Black,12.0,36.0
Corsair Vengeance RGB Pro 32 GB,99.99,"[4, 3200]","[2, 16]",3.125,White,10.0,16.0
G.Skill Aegis 16 GB,37.99,"[4, 3200]","[2, 8]",2.374,Red / Black,10.0,16.0
G.Skill Trident Z5 RGB 48 GB,319.99,"[5, 8000]","[2, 24]",6.666,Black,10.0,40.0
Corsair Vengeance LPX 8 GB,24.99,"[4, 2400]","[1, 8]",3.124,Black / Yellow,13.333,16.0
Corsair Vengeance 64 GB,217.99,"[5, 6400]","[2, 32]",3.406,Black / Gray,10.0,32.0
Corsair Vengeance 32 GB,105.99,"[5, 6000]","[2, 16]",3.312,Black / Gray,10.0,30.0
Corsair Dominator Platinum RGB 64 GB,264.99,"[5, 6000]","[2, 32]",4.14,Black,13.333,40.0
G.Skill Ripjaws V 32 GB,74.98,"[4, 4000]","[2, 16]",2.343,Black,9.0,18.0
Corsair Vengeance 32 GB,124.99,"[5, 6400]","[2, 16]",3.906,Black,10.0,32.0
Corsair Vengeance 32 GB,169.99,"[5, 7200]","[2, 16]",5.312,Gray,9.444,34.0
Corsair Vengeance LPX 256 GB,694.99,"[4, 3600]","[8, 32]",2.715,Black / Yellow,10.0,18.0
Kingston FURY Beast 32 GB,129.99,"[5, 6000]","[2, 16]",4.062,Black,12.0,36.0
Corsair Dominator Platinum RGB 32 GB,139.99,"[5, 6200]","[2, 16]",4.375,Black,11.613,36.0
Corsair Vengeance 16 GB,69.99,"[5, 5200]","[2, 8]",4.374,Black,15.385,40.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"[5, 6000]","[2, 16]",3.125,Black,10.0,30.0
Corsair Vengeance RGB Pro 32 GB,114.99,"[4, 3200]","[4, 8]",3.593,Black,10.0,16.0
Corsair Vengeance 32 GB,89.99,"[5, 5200]","[2, 16]",2.812,Black,15.385,40.0
G.Skill Ripjaws S5 32 GB,108.99,"[5, 6000]","[2, 16]",3.406,White,10.0,30.0
TEAMGROUP T-Force Delta RGB 32 GB,84.99,"[5, 6000]","[2, 16]",2.656,Black,12.667,38.0
Kingston FURY Beast RGB 16 GB,53.0,"[4, 3200]","[2, 8]",3.312,Black,10.0,16.0
Crucial CT2K8G48C40U5 16 GB,39.99,"[5, 4800]","[2, 8]",2.499,Black,16.667,40.0
Kingston FURY Beast 8 GB,25.99,"[4, 3200]","[1, 8]",3.249,Black,10.0,16.0
G.Skill Aegis 32 GB,57.99,"[4, 3200]","[2, 16]",1.812,Red / Black,10.0,16.0
Corsair Vengeance RGB 32 GB,102.99,"[5, 6000]","[2, 16]",3.218,Black,12.0,36.0
Corsair Vengeance RGB 32 GB,129.99,"[5, 6400]","[2, 16]",4.062,Black / Gray,10.0,32.0
G.Skill Ripjaws S5 64 GB,219.99,"[5, 6000]","[2, 32]",3.437,Black,10.0,30.0
G.Skill Trident Z5 RGB 32 GB,236.99,"[5, 7800]","[2, 16]",7.406,Black,9.231,36.0
Kingston ValueRAM 1 GB,9.11,"[2, 667]","[1, 1]",9.11,Green,14.993,5.0
Kingston FURY Beast RGB 16 GB,90.98,"[5, 6000]","[2, 8]",5.686,Black,13.333,40.0
TEAMGROUP T-Force Vulcan Z 32 GB,54.99,"[4, 3200]","[2, 16]",1.718,Gray,10.0,16.0
