name,price,capacity,price_per_gb,type,cache,form_factor,interface
Silicon Power P34A80,43.97,1000.0,0.044,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WDBSLA0040HNC-NRSN,88.88,4000.0,0.022,7200,64.0,3.5,SATA 6.0 Gb/s
ADATA Legend 800,45.99,1000.0,0.046,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,99.99,1000.0,0.1,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,24.99,512.0,0.049,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen5,,2000.0,,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Gold,459.99,20000.0,0.023,7200,512.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4,137.99,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750,,500.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.3,28.5,1000.0,0.029,7200,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,18.98,256.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK,49.99,1000.0,0.05,7200,64.0,3.5,SATA 6.0 Gb/s
Crucial MX500,29.99,250.0,0.12,SSD,256.0,2.5,SATA 6.0 Gb/s
TEAMGROUP AX2,65.98,2000.0,0.033,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP600,109.99,2000.0,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SX8200 Pro,46.99,512.0,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY CS2140,78.0,2000.0,0.039,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,24.99,480.0,0.052,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,124.99,6000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,209.99,4000.0,0.052,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33 PRO,41.99,1000.0,0.042,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,47.99,2000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4.0,119.99,2000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 GS,52.99,1000.0,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,72.98,2000.0,0.036,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY CS900,15.99,240.0,0.067,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700 W/Heatsink,209.99,1000.0,0.21,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 860 Evo,48.62,250.0,0.194,SSD,512.0,2.5,SATA 6.0 Gb/s
Silicon Power UD90,223.68,4000.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP QX,66.98,2000.0,0.033,SSD,,2.5,SATA 6.0 Gb/s
ADATA Premium For PS5,84.99,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,169.99,8000.0,0.021,7200,128.0,3.5,SATA 6.0 Gb/s
Samsung 860 Pro,1142.84,4000.0,0.286,SSD,4096.0,2.5,SATA 6.0 Gb/s
Toshiba P300,43.06,1000.0,0.043,7200,64.0,3.5,SATA 6.0 Gb/s
Crucial BX500,19.95,240.0,0.083,SSD,,2.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,59.99,4000.0,0.015,7200,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP AX2,21.49,512.0,0.042,SSD,,2.5,SATA 6.0 Gb/s
PNY CS1030,22.99,500.0,0.046,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,79.98,4000.0,0.02,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,119.4,5000.0,0.024,5400,128.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN750 SE,139.99,1000.0,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston A2000,119.99,1000.0,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green SN350,26.99,480.0,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket Q,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,260.0,16000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s
Corsair MP700,169.99,1000.0,0.17,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO LPX,124.99,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,21.79,240.0,0.091,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY CS2140,42.99,1000.0,0.043,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,,1000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,109.59,2000.0,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo,199.0,2000.0,0.099,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4 7000s,75.81,1000.0,0.076,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,18.98,500.0,0.038,7200,16.0,3.5,SATA 6.0 Gb/s
Kingston A2000,,500.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda,252.99,8000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,55.0,2000.0,0.028,7200,256.0,3.5,SATA 6.0 Gb/s
Asus ROG Strix SQ7,,1000.0,,SSD,113664.0,M.2-2260,M.2 PCIe 4.0 X4
Kingston NV1,67.5,1000.0,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,39.99,500.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket Q,,8000.0,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA,102.99,1000.0,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,114.99,6000.0,0.019,5400,256.0,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,114.99,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 960 Evo,58.5,250.0,0.234,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP CX2,34.99,1000.0,0.035,SSD,,2.5,SATA 6.0 Gb/s
ADATA SU630,64.93,480.0,0.135,SSD,,2.5,SATA 6.0 Gb/s
Kingston KC3000,367.71,4096.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Desktop HDD,,4000.0,,5900,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,229.99,12000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Silicon Power P34A60,14.97,128.0,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,55.14,240.0,0.23,SSD,,2.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,113.99,2000.0,0.057,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Leven JS600,61.99,2000.0,0.031,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,151.99,8000.0,0.019,5640,128.0,3.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,19.98,240.0,0.083,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,172.99,4000.0,0.043,SSD,,2.5,SATA 6.0 Gb/s
Samsung 960 Pro,599.99,2000.0,0.3,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Pro,256.25,1000.0,0.256,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
PNY CS1030,69.99,2000.0,0.035,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,24.99,250.0,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,119.99,2000.0,0.06,SSD,,M.2-2280,M.2 SATA
Samsung 850 Evo,124.45,1000.0,0.124,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,42.94,1000.0,0.043,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Green SN350,86.95,2000.0,0.043,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,189.99,12000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,189.99,10000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,134.44,6000.0,0.022,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,72.37,2000.0,0.036,,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP AX2,34.99,1000.0,0.035,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,60.0,2000.0,0.03,5400,128.0,2.5,SATA 6.0 Gb/s
ADATA XPG SPECTRIX S40G RGB,83.39,1000.0,0.083,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 320,,600.0,,SSD,,2.5,SATA 3.0 Gb/s
ADATA Ultimate SU650,15.25,120.0,0.127,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro Compute,55.99,1000.0,0.056,7200,128.0,2.5,SATA 6.0 Gb/s
Samsung 860 QVO,125.01,1000.0,0.125,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM790,192.0,1000.0,0.192,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 710,47.0,1000.0,0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,29.99,1000.0,0.03,5400,64.0,3.5,SATA 6.0 Gb/s
