name,price,socket,form_factor,max_memory,memory_slots,color
ASRock A320M-HDV,,AM4,Micro ATX,32,2,Black / Silver
Gigabyte GA-Z170X-UD5,,LGA1151,ATX,64,4,Black / Gold
Asus ROG STRIX Z590-I GAMING WIFI,400.99,LGA1200,Mini ITX,64,2,Black
MSI MEG Z390 GODLIKE,824.0,LGA1151,EATX,128,4,Black
MSI X99A SLI PLUS,,LGA2011-3,ATX,128,8,Black
Asus Sabertooth 990FX R2.0,,AM3+,ATX,32,4,Brown / Black
Gigabyte Z690 GAMING X,243.99,LGA1700,ATX,128,4,Black / Gray
Gigabyte Z390 I AORUS PRO WIFI,,LGA1151,Mini ITX,64,2,Black / Silver
Gigabyte B460M DS3H V2,,LGA1200,Micro ATX,128,4,Brown / Black
NZXT N7 Z490,229.99,LGA1200,ATX,128,4,Black
MSI B550M-A PRO,,AM4,Micro ATX,64,2,Black
MSI Z97 PC MATE,,LGA1150,ATX,32,4,Black / Blue
MSI B365M PRO-VDH,,LGA1151,Micro ATX,64,4,Black / Silver
Asus Z170I PRO GAMING,,LGA1151,Mini ITX,32,2,Black / Red
Asus ROG STRIX TRX40-XE GAMING,,sTRX4,ATX,256,8,Black
Asus STRIX Z270F,,LGA1151,ATX,64,4,Black / Silver
Gigabyte H510M K,,LGA1200,Micro ATX,64,2,Black
ASRock Z370 Pro4,,LGA1151,ATX,64,4,Black / Silver
ASRock B560M Pro4,214.6,LGA1200,Micro ATX,128,4,Silver / Black
Biostar B450MH,145.49,AM4,Micro ATX,32,2,Black / Yellow
Gigabyte Z590 UD,139.99,LGA1200,ATX,128,4,Black
Asus Sabertooth X79,,LGA2011,ATX,64,8,Brown / Black
ECS KAM1-I(1.0),,AM1,Mini ITX,16,2,Black / Gray
ASRock B560M-HDV,127.2,LGA1200,Micro ATX,64,2,Silver / Black
Asus TUF GAMING B560-PLUS WIFI,,LGA1200,ATX,128,4,Black
ASRock Z390 Phantom Gaming 4S,,LGA1151,ATX,128,4,Black
MSI Z97S SLI Krait Edition,,LGA1150,ATX,32,4,Black / White
Asus ROG STRIX Z370-F GAMING,527.99,LGA1151,ATX,64,4,Black / Silver
MSI A320M PRO-VH,,AM4,Micro ATX,64,2,Brown / Black
Gigabyte Z690M AORUS ELITE AX DDR4,,LGA1700,Micro ATX,128,4,Black
Asus TUF B360M-PLUS GAMING,,LGA1151,Micro ATX,64,4,Silver / Orange
Asus ROG MAXIMUS XI FORMULA,700.0,LGA1151,ATX,128,4,Black
MSI MAG B560 TORPEDO,227.27,LGA1200,ATX,128,4,Black / Blue
NZXT N7 Z590,,LGA1200,ATX,128,4,Black
Gigabyte GA-Z97X-SLI,,LGA1150,ATX,32,4,Black / Red
Gigabyte H410M H,,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B250M Pro4,,LGA1151,Micro ATX,64,4,Black / White
Gigabyte B365M DS3H WIFI,,LGA1151,Micro ATX,64,4,Black
Gigabyte Z390 AORUS PRO,,LGA1151,ATX,128,4,Black / Silver
Asus ROG Crosshair VII Hero,,AM4,ATX,64,4,Black
MSI H110M Gaming,,LGA1151,Micro ATX,32,2,Black / Red
Gigabyte Z370N WIFI,272.83,LGA1151,Mini ITX,32,2,Black / White
Asus PRIME B365M-K,,LGA1151,Micro ATX,32,2,Black / Silver
Asus PRIME H610M-D D4,130.44,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte GA-F2A78M-HD2,,FM2+,Micro ATX,64,2,Black
Gigabyte B450M H,,AM4,Micro ATX,32,2,Black
Gigabyte B760M GAMING DDR4,,LGA1700,Micro ATX,64,2,Black / Red
Asus Pro B760M-CT-CSM,139.99,LGA1700,Micro ATX,128,4,Green / Black
Asus ROG STRIX Z590-F GAMING WIFI,368.78,LGA1200,ATX,128,4,Black / Silver
Gigabyte GA-H270N-WIFI,,LGA1151,Mini ITX,32,2,Black / Silver
ASRock H470M-HVS,,LGA1200,Micro ATX,64,2,Black / Silver
Asus PRIME B650M-A WIFI,,AM5,Micro ATX,128,4,Silver / Black
ASRock B450M-HDV,,AM4,Micro ATX,32,2,Black / Silver
Gigabyte Z490 VISION G,,LGA1200,ATX,128,4,White / Black
Gigabyte Z590I VISION D,,LGA1200,Mini ITX,64,2,Black / White
Gigabyte B550 AORUS PRO,269.0,AM4,ATX,128,4,Black / Orange
ASRock X370 KILLER SLI/ac,,AM4,ATX,64,4,Black / White
MSI B360 GAMING PLUS,,LGA1151,ATX,64,4,Black / Red
MSI B460M-A PRO,,LGA1200,Micro ATX,64,2,Black
Gigabyte H310M H,,LGA1151,Micro ATX,32,2,Silver / Brown
MSI X470 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver
MSI MPG Z590M GAMING EDGE WIFI,254.99,LGA1200,Micro ATX,128,4,Black
MSI MEG B550 UNIFY,,AM4,ATX,128,4,Black / Silver
Asus M5A78L-M PLUS/USB3,249.97,AM3+,Micro ATX,32,4,Black / Blue
MSI Creator TRX40,,sTRX4,EATX,256,8,Black / Silver
MSI B450-A PRO,,AM4,ATX,64,4,Brown / Black
MSI B250M PRO-VD,,LGA1151,Micro ATX,32,2,Brown / Black
ASRock B560 Steel Legend,144.99,LGA1200,ATX,128,4,Silver / Black
MSI MAG B660 TOMAHAWK WIFI,,LGA1700,ATX,128,4,Black / Silver
ASRock H510M-HVS,,LGA1200,Micro ATX,64,2,Silver / Black
MSI MPG Z390 GAMING PRO CARBON AC,,LGA1151,ATX,128,4,Black / Silver
Asus P8H61-M LE/CSM R2.0,,LGA1155,Micro ATX,16,2,Black / Blue
MSI MEG X570 GODLIKE,,AM4,EATX,128,4,Black
MSI MAG Z690M MORTAR WIFI,,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG STRIX X470-I GAMING,,AM4,Mini ITX,32,2,Black
Intel DH61BEB3,563.54,LGA1155,Micro ATX,8,2,Green / Blue
Gigabyte X299 UD4 Pro,319.99,LGA2066,ATX,128,8,Black
Gigabyte GA-Z170X-Gaming 7,,LGA1151,ATX,64,4,Black / Red
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),,AM4,Mini ITX,32,2,Black / Red
Gigabyte B560M DS3H,,LGA1200,Micro ATX,128,4,Black
Asus PRIME H310-PLUS,,LGA1151,ATX,32,2,Black
Gigabyte Z490I AORUS ULTRA,466.36,LGA1200,Mini ITX,64,2,Black / Silver
MSI MEG Z490I UNIFY,,LGA1200,Mini ITX,64,2,Black / Silver
Asus STRIX X370-F GAMING,408.67,AM4,ATX,64,4,Black
Gigabyte B450 Gaming X,,AM4,ATX,64,4,Black / Red
Asus Pro Q670M-C-CSM,169.19,LGA1700,Micro ATX,128,4,Green / Black
MSI MPG Z590 GAMING EDGE WIFI,343.2,LGA1200,ATX,128,4,Black
MSI PRO B760M-E DDR4,,LGA1700,Micro ATX,64,2,Black
MSI Z87-G45 Gaming,,LGA1150,ATX,32,4,Brown / Black
MSI B350M PRO-VDH,,AM4,Micro ATX,64,4,Brown / Black
ASRock Fatal1ty B450 GAMING K4,,AM4,ATX,64,4,Black / Silver
MSI H410M-A PRO,,LGA1200,Micro ATX,64,2,Black / Silver
Gigabyte A520M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange
Gigabyte GA-AB350M-Gaming 3,,AM4,Micro ATX,64,4,Black / Red
Asus TUF Z370 Plus Gaming,,LGA1151,ATX,64,4,Black / Yellow
MSI B150 Gaming M3,,LGA1151,ATX,64,4,Black / Red
Asus TUF X470-PLUS GAMING,,AM4,ATX,64,4,Black
Asus M5A99FX PRO R2.0,,AM3+,ATX,32,4,Black / Blue
Gigabyte GA-970A-DS3P,,AM3+,ATX,32,4,Black / Gray
MSI PRO-B660M-A-CEC-WIFI-DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
Asus ProArt B760-CREATOR,,LGA1700,ATX,128,4,Black / Copper
Gigabyte Z790 AORUS TACHYON,599.99,LGA1700,EATX,64,2,Silver / Black
Gigabyte B660M GAMING X AX DDR4,,LGA1700,Micro ATX,128,4,Black
MSI TRX40 PRO WIFI,,sTRX4,ATX,256,8,Black / Silver
Asus Z87-Pro,,LGA1150,ATX,32,4,Black / Gold
Gigabyte Z690I AORUS ULTRA DDR4,,LGA1700,Mini ITX,64,2,Black / Silver
Gigabyte B560 HD3,,LGA1200,ATX,128,4,Black / Gray
Asus ROG STRIX Z390-H GAMING,,LGA1151,ATX,128,4,Black / Red
ASRock Z490 Phantom Gaming-ITX/TB3,159.99,LGA1200,Mini ITX,64,2,Black
ASRock B550 PG Riptide,,AM4,ATX,128,4,Black / Silver
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver
MSI H110M Pro-VD,,LGA1151,Micro ATX,32,2,Black / Silver
Asus ROG Strix Z370-I Gaming,,LGA1151,Mini ITX,32,2,Black / Silver
Gigabyte Z690I AORUS ULTRA,399.0,LGA1700,Mini ITX,64,2,Black / Silver
Gigabyte Z590 VISION D,,LGA1200,ATX,128,4,Black / White
Asus PRIME H310M-A R2.0,148.97,LGA1151,Micro ATX,32,2,Black
Asus Pro B560M-CT/CSM,126.99,LGA1200,Micro ATX,128,4,Green
Gigabyte A620I AX,,AM5,Mini ITX,96,2,Black / Gray
Asus H170-PRO,,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-AX370M-DS3H,,AM4,Micro ATX,64,4,Black
Asus PRO A520M-C II/CSM,92.99,AM4,Micro ATX,64,2,Green / Black
Colorful CVN X570M GAMING FROZEN V14,,AM4,Micro ATX,128,4,White
MSI MEG Z390 ACE,,LGA1151,ATX,128,4,Black / Silver
Asus Z97I-PLUS,,LGA1150,Mini ITX,16,2,Black / Gold
ASRock A320M-ITX,,AM4,Mini ITX,32,2,Black / Silver
MSI MAG B660M MORTAR,,LGA1700,Micro ATX,128,4,Black / Silver
ASRock A320M,,AM4,Micro ATX,32,2,Black / Silver
MSI A520M PRO,,AM4,Micro ATX,64,2,Black
Asus H110M-A/M.2,,LGA1151,Micro ATX,32,2,Black / Gold
Gigabyte B660 DS3H AC DDR4,,LGA1700,ATX,128,4,Black
Asus P5QL-VM DO/CSM,,LGA775,Micro ATX,16,4,Black / Yellow
Gigabyte GA-AB350-Gaming,,AM4,ATX,64,4,Black / Red
MSI B450M BAZOOKA,,AM4,Micro ATX,64,4,Black / Silver
ASRock X570 Creator,259.99,AM4,ATX,128,4,Black / Silver
MSI MEG B550 UNIFY-X,299.99,AM4,ATX,64,2,Black
MSI H510M PRO,159.0,LGA1200,Micro ATX,64,2,Beige
MSI H310M PRO-M2 PLUS,,LGA1151,Micro ATX,32,2,Black
ASRock B450M Steel Legend Pink,,AM4,Micro ATX,128,4,Black / Pink
Gigabyte GA-H110M-S2H,,LGA1151,Micro ATX,32,2,Black
MSI MAG B460M MORTAR WIFI,,LGA1200,Micro ATX,128,4,Silver / Black
Asus Sabertooth Z77,,LGA1155,ATX,32,4,Brown / Black
Asus Zenith II Extreme,,sTRX4,EATX,256,8,Black
Gigabyte Z590 AORUS ELITE,275.11,LGA1200,ATX,128,4,Black
MSI B560M PRO,143.53,LGA1200,Micro ATX,64,2,Black
ASRock B460M Pro4,,LGA1200,Micro ATX,128,4,Black / Silver
Asus H110M-C/CSM,,LGA1151,Micro ATX,32,2,Black / Gold
Gigabyte B760M GAMING X AX,,LGA1700,Micro ATX,192,4,Brown / Black
ASRock Z690M PG RIPTIDE/D5,,LGA1700,Micro ATX,128,4,Black / Silver
Asus PRIME H410M-K,231.76,LGA1200,Micro ATX,64,2,Black
Asus ROG STRIX Z270i GAMING,,LGA1151,Mini ITX,32,2,Black / Silver
Supermicro MBD-X11SSL-F-O,254.99,LGA1151,Micro ATX,64,4,Black / Green
Asus Z170-P,,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-B150M-D3H,,LGA1151,Micro ATX,64,4,Black / Silver
Asus H110M-R,,LGA1151,Micro ATX,32,2,Black
Asus PRIME B650M-A WIFI II,,AM5,Micro ATX,128,4,Black / Silver
Asus H81M-C/CSM,,LGA1150,Micro ATX,16,2,Black / Gold
Gigabyte Z490 AORUS ELITE AC,329.98,LGA1200,ATX,128,4,Black / Silver
ASRock H610M-HVS/M.2 R2.0,111.2,LGA1700,Micro ATX,64,2,Black / Silver
ASRock B560 Pro4,,LGA1200,ATX,128,4,Silver / Black
Gigabyte GA-B85M-D3H,,LGA1150,Micro ATX,32,4,Black / Gray
ASRock X470 Taichi,,AM4,ATX,64,4,Black / Silver
Gigabyte Z490 AORUS PRO AX,,LGA1200,ATX,128,4,Black / Silver
ASRock Z690 Taichi Razer Edition,339.99,LGA1700,ATX,128,4,Black
Gigabyte X570 AORUS PRO,430.99,AM4,ATX,128,4,Black / Silver
Gigabyte GA-H61M-DS2,,LGA1155,Micro ATX,16,2,Blue / White
Gigabyte GA-B75M-D3H,,LGA1155,Micro ATX,32,4,Blue / White
Gigabyte GA-AB350M-DS3H,,AM4,Micro ATX,64,4,Black
ASRock Z590 PG Velocita,124.99,LGA1200,ATX,128,4,Silver / Black
Asus Z170-E,,LGA1151,ATX,64,4,Black / Silver
MSI Z370 GAMING PRO CARBON,,LGA1151,ATX,64,4,Black
Asus ROG STRIX Z490-F GAMING,,LGA1200,ATX,128,4,Black
EVGA X299 Micro,227.81,LGA2066,Micro ATX,128,4,Black
MSI B550M PRO-VDH,,AM4,Micro ATX,128,4,Black
Asus WS X299 SAGE/10G,599.0,LGA2066,SSI CEB,128,8,Black / Silver
Asus PRIME B460-PLUS,,LGA1200,ATX,128,4,Silver / Black
Asus ROG STRIX B360-F GAMING,,LGA1151,ATX,64,4,Black
Asus TUF GAMING B450M-PRO S,,AM4,Micro ATX,128,4,Black
Asus PRIME B560M-K,,LGA1200,Micro ATX,64,2,Silver / Black
Gigabyte B560M AORUS ELITE,,LGA1200,Micro ATX,128,4,Black
Asus H110-PLUS,,LGA1151,ATX,32,2,Black / Gold
MSI B350 GAMING PLUS,,AM4,ATX,64,4,Black / Red
Asus Pro B660M-C D4-CSM,124.37,LGA1700,Micro ATX,128,4,Green / Black
ASRock H670M Pro RS,138.99,LGA1700,Micro ATX,128,4,Gray / Black
MSI PRO Z790-P DDR4,,LGA1700,ATX,128,4,Black / Silver
Asus X99-A,,LGA2011-3,ATX,64,8,Black / Silver
MSI H510I PRO WIFI,230.0,LGA1200,Mini ITX,64,2,Black / Silver
Asus PRIME A320M-E,191.0,AM4,Micro ATX,64,2,Black / Silver
Asus PRIME B650M-A II-CSM,179.99,AM5,Micro ATX,128,4,Silver / Black
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,ATX,128,4,Black
Biostar B560MX-E PRO,,LGA1200,Micro ATX,128,4,Brown / Silver
Asus X99-M WS,,LGA2011-3,Micro ATX,64,4,Black / Silver
Asus PRIME Z370-A II,,LGA1151,ATX,64,4,Black / Silver
Gigabyte X570S AORUS PRO AX,,AM4,ATX,128,4,Black / Gray
MSI TRX40 PRO 10G,,sTRX4,ATX,256,8,Black / Silver
MSI B450M MORTAR,,AM4,Micro ATX,64,4,Black
Gigabyte B360 AORUS Gaming 3 WIFI,,LGA1151,ATX,64,4,Black / Orange
Asus TUF Z390-PRO GAMING,,LGA1151,ATX,128,4,Black / Gold
MSI MAG Z690 TORPEDO,,LGA1700,ATX,128,4,Blue / Black
Gigabyte Z690 UD AX,,LGA1700,ATX,128,4,Black
ASRock H97M Pro4,,LGA1150,Micro ATX,32,4,Black / Blue
Gigabyte Z370 HD3 (rev. 1.0),,LGA1151,ATX,64,4,Black / Gray
Asus PRIME H570M-PLUS/CSM,139.41,LGA1200,Micro ATX,128,4,Black / Silver
Biostar H510MHP 2.0,,LGA1200,Micro ATX,64,2,Black
MSI Z170A GAMING M7,,LGA1151,ATX,64,4,Black / Red
Gigabyte Z690M DS3H DDR4,,LGA1700,Micro ATX,128,4,Brown / Gray
Gigabyte B760M H DDR4,,LGA1700,Micro ATX,64,2,Brown / Gray
Gigabyte GA-H97M-D3H,,LGA1150,Micro ATX,32,4,Black / Gold
MSI A68HM-E33 V2,,FM2+,Micro ATX,32,2,Black
Gigabyte B550M GAMING,,AM4,Micro ATX,64,2,Black / Silver
Gigabyte Z690I AORUS ULTRA PLUS (rev. 1.0),,LGA1700,Mini ITX,64,2,
MSI MEG Z490 UNIFY,420.0,LGA1200,ATX,128,4,Black / Silver
Asus Maximus VI Gene,,LGA1150,Micro ATX,32,4,
Asus PRIME A520M-A/CSM,119.0,AM4,Micro ATX,128,4,Black / Silver
MSI H61M-P31/W8,,LGA1155,Micro ATX,16,2,Black / Blue
Asus Sabertooth Z87,,LGA1150,ATX,32,4,Brown / Black
MSI B350M MORTAR ARCTIC,,AM4,Micro ATX,64,4,White
Gigabyte X470 AORUS GAMING 7 WIFI,,AM4,ATX,64,4,Black / Orange
ASRock Z690 Phantom Gaming 4/D5,180.5,LGA1700,ATX,128,4,Black / Silver
ASRock Z590M-ITX/ax,199.99,LGA1200,Mini ITX,64,2,Silver / Black
MSI MPG Z390M GAMING EDGE AC,,LGA1151,Micro ATX,128,4,Black / Silver
MSI B250M GAMING PRO,,LGA1151,Micro ATX,32,2,Black / Red
Gigabyte X470 AORUS GAMING 5 WIFI,,AM4,ATX,64,4,Black / Orange
MSI MAG B460 TOMAHAWK,,LGA1200,ATX,128,4,Black / Silver
ASRock H510M-HDV/M.2,195.48,LGA1200,Micro ATX,64,2,Silver / Black
MSI MEG Z690 GODLIKE,,LGA1700,EATX,128,4,Black / Silver
Gigabyte Z390 M GAMING,,LGA1151,Micro ATX,128,4,Black / Red
Asus ROG Strix Z370-H Gaming,,LGA1151,ATX,64,4,Black / Red
ASRock X299E-ITX/ac,,LGA2066,Mini ITX,128,4,Black
MSI B360 GAMING ARCTIC,,LGA1151,ATX,64,4,White
MSI B450M PRO-M2,,AM4,Micro ATX,32,2,Brown / Black
Gigabyte B365 HD3,,LGA1151,ATX,64,4,Black / Silver
ASRock C246M WS,249.99,LGA1151,Micro ATX,64,4,Green / Blue
Gigabyte B660M AORUS Pro DDR4,,LGA1700,Micro ATX,128,4,Black
Gigabyte GA-H61M-S2PV(R2.0),,LGA1155,Micro ATX,16,2,Blue / White
Asus P8Z77-V LX,,LGA1155,ATX,32,4,Black / Blue
ASRock Z590M Pro4,,LGA1200,Micro ATX,128,4,Silver / Black
ASRock Z270 Killer SLI/ac,1719.6,LGA1151,ATX,64,4,Black / White
Gigabyte B660M GAMING AC DDR4,,LGA1700,Micro ATX,64,2,Black / Red
Asus PRIME Z370-P II,,LGA1151,ATX,64,4,Silver / Black
Asus STRIX Z270H,,LGA1151,ATX,64,4,Black / Silver
Gigabyte B650M AORUS ELITE,,AM5,Micro ATX,128,4,Black
Gigabyte B660 AORUS Master,365.0,LGA1700,ATX,128,4,Black
MSI Z170A PC MATE,,LGA1151,ATX,64,4,Black
Asus ROG STRIX X99 GAMING,,LGA2011-3,ATX,128,8,Black
MSI Z370 SLI PLUS,,LGA1151,ATX,64,4,Black / Gray
Asus ROG Crosshair VII Hero (Wi-Fi),,AM4,ATX,64,4,Black
Asus P8Z77-I Deluxe,,LGA1155,Mini ITX,16,2,Black / Blue
MSI X470 GAMING PRO,,AM4,ATX,64,4,Black / Red
ASRock Z390M-ITX/ac,,LGA1151,Mini ITX,64,2,Black / Silver
Asus PRIME X670-P WIFI-CSM,,AM5,ATX,128,4,Silver / Black
Asus P8B75-M/CSM,,LGA1155,Micro ATX,32,4,Black / Blue
Gigabyte GA-AX370-GAMING 5,,AM4,ATX,64,4,Black / White
MSI MPG Z490M GAMING EDGE WIFI,,LGA1200,Micro ATX,128,4,Black / Silver
Gigabyte B550M S2H,,AM4,Micro ATX,64,2,Black / Silver
Biostar A520MH,,AM4,Micro ATX,64,2,Black / Silver
MSI B150M BAZOOKA,,LGA1151,Micro ATX,64,4,Black / White
Asus TUF GAMING B550M-ZAKU (WI-FI),,AM4,Micro ATX,128,4,Black / Red
Asus PRIME H270M-PLUS,,LGA1151,Micro ATX,64,4,Black / Silver
Asus P5G41-M LE/CSM,299.98,LGA775,Micro ATX,8,2,Black / Blue
MSI B360M PRO-VDH,,LGA1151,Micro ATX,64,4,Black
MSI B450M BAZOOKA V2,,AM4,Micro ATX,64,4,Black
MSI MEG Z590 ACE,349.0,LGA1200,ATX,128,4,Black
Gigabyte Z690 AORUS PRO DDR4,,LGA1700,ATX,128,4,Black / Silver
Gigabyte B760M AORUS ELITE AX DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
Asus Prime A320I-K,,AM4,Mini ITX,32,2,Black
Asus Crosshair V Formula-Z,,AM3+,ATX,32,4,Black / Red
Asus ROG Strix H370-F Gaming,,LGA1151,ATX,64,4,Black
Gigabyte GA-AX370-Gaming K7,,AM4,ATX,64,4,Black
MSI A320M PRO-VH PLUS,,AM4,Micro ATX,32,2,Brown / Black
MSI H410M PRO,,LGA1200,Micro ATX,64,2,Black / Silver
ASRock Z590 OC Formula,159.9,LGA1200,EATX,64,2,Green / Black
Asus Pro WS X570-ACE,462.99,AM4,ATX,128,4,Black
MSI PRO B550-P GEN3,,AM4,ATX,128,4,Brown / Black
Asus ROG MAXIMUS VIII HERO ALPHA,,LGA1151,ATX,64,4,Black / Red
Asus PRO H610M-CT D4-CSM,109.89,LGA1700,Micro ATX,64,2,Green / Black
Gigabyte B460M DS3H,,LGA1200,Micro ATX,128,4,Black / Silver
Gigabyte GA-G41MT-S2PT,,LGA775,Micro ATX,8,2,Blue / White
MSI X370 GAMING PLUS,,AM4,ATX,64,4,Black / Red
Gigabyte B650M C,150.98,AM5,Micro ATX,128,4,Brown / Black
Gigabyte B760M AORUS PRO AX,,LGA1700,Micro ATX,128,4,Black / Silver
ASRock X570D4U-2L2T,,AM4,Micro ATX,128,4,Green / Silver
Asus ROG STRIX B560-F GAMING WIFI,,LGA1200,ATX,128,4,Black / Silver
MSI PRO H410M-B,,LGA1200,Micro ATX,64,2,Black / Silver
Asus M5A78L-M/USB3,309.98,AM3+,Micro ATX,32,4,Black / Blue
Gigabyte A620M GAMING X AX,,AM5,Micro ATX,128,4,Brown / Gray
Asus CROSSHAIR VI HERO (WI-FI AC),,AM4,ATX,64,4,Black / Gray
Asus ROG STRIX B760-G GAMING WIFI,,LGA1700,Micro ATX,192,4,Silver / Black
MSI B250M MORTAR,,LGA1151,Micro ATX,64,4,Black / Red
ASRock X470 Master SLI/AC,,AM4,ATX,64,4,Black / Silver
Asus PRIME Z590M-PLUS,235.99,LGA1200,Micro ATX,128,4,Silver / Black
Asus Prime H310M-C R2.0/CSM,140.49,LGA1151,Micro ATX,32,2,Green
NZXT N7 Z490,,LGA1200,ATX,128,4,White / Black
Gigabyte H410M S2 V3,,LGA1200,Micro ATX,64,2,Black / Gray
Asus TUF Z270 MARK 2,,LGA1151,ATX,64,4,Black / Yellow
MSI MEG Z490 ACE,399.0,LGA1200,ATX,128,4,Black / Gold
MSI Z270 GAMING M3,,LGA1151,ATX,64,4,Black / Red
MSI X79MA-GD45,,LGA2011,Micro ATX,64,4,Black / Blue
Gigabyte GA-Z97MX-Gaming 5,,LGA1150,Micro ATX,32,4,Black / Red
MSI MAG B560M BAZOOKA,149.99,LGA1200,Micro ATX,128,4,Black / Green
Gigabyte X570S AORUS ELITE,,AM4,ATX,128,4,Black
MSI MAG B760M MORTAR MAX WIFI,,LGA1700,Micro ATX,128,4,Silver / Black
Asus H61M-C,,LGA1155,Micro ATX,16,2,Black / Blue
Asus STRIX B250F GAMING,,LGA1151,ATX,64,4,Black / Silver
Asus ROG MAXIMUS XI HERO,,LGA1151,ATX,128,4,Black / Silver
Gigabyte A520M DS3H AC,,AM4,Micro ATX,128,4,Black
ASRock H310M-ITX/ac,,LGA1151,Mini ITX,32,2,Black / Silver
Gigabyte B760M DS3H,,LGA1700,Micro ATX,128,4,Black / Silver
Asus TUF GAMING Z490-PLUS,299.0,LGA1200,ATX,128,4,Black
Asus B150M-A D3,,LGA1151,Micro ATX,64,4,Black / Gold
MSI Z170-A PRO,,LGA1151,ATX,64,4,Brown / Black
Asus ROG Strix X399-E Gaming,,sTR4,EATX,128,8,Black
MSI B450M PRO-VDH,,AM4,Micro ATX,64,4,Brown
ASRock Z390 Phantom Gaming-ITX/ac,,LGA1151,Mini ITX,64,2,Black / Silver
Asus PRIME X670E-PRO WIFI-CSM,,AM5,ATX,128,4,Silver / Black
Gigabyte GA-Z170XP-SLI,,LGA1151,ATX,64,4,Black / Red
MSI PRO B660M-G,,LGA1700,Micro ATX,64,2,Black / Silver
Asus H170 PRO GAMING,,LGA1151,ATX,64,4,Black / Red
MSI B250M PRO-VDH,,LGA1151,Micro ATX,64,4,Brown / Black
Asus ROG STRIX B360-I GAMING,,LGA1151,Mini ITX,32,2,Black / Silver
ASRock B560M Steel Legend,134.99,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte GA-990FXA-UD3,,AM3+,ATX,32,4,Black / Silver
Asus H97M-E,,LGA1150,Micro ATX,32,4,Black / Gray
Gigabyte GA-Z170X-Gaming 3,,LGA1151,ATX,64,4,Black / Red
Gigabyte GA-Z170-HD3,,LGA1151,ATX,64,4,Black / Gold
MSI Z170A KRAIT GAMING 3X,,LGA1151,ATX,64,4,Black / White
MSI B365M-PRO-VH,,LGA1151,Micro ATX,32,2,Black
MSI MEG Z590 UNIFY-X,150.99,LGA1200,ATX,128,4,Black
EVGA X570 DARK,621.99,AM4,EATX,64,2,Black
MSI B360M MORTAR,,LGA1151,Micro ATX,64,4,Black
Gigabyte Z690I AORUS ULTRA LITE DDR4 (rev. 1.0),,LGA1700,Mini ITX,64,2,Silver / Black
Asus P8H61-M LX3 R2.0,,LGA1155,Micro ATX,16,2,Black / Blue
Gigabyte GA-Z270X-Ultra Gaming,,LGA1151,ATX,64,4,Black / Silver
Asus TUF B450-Pro Gaming,,AM4,ATX,64,4,Black
Gigabyte B650 AORUS ELITE,,AM5,ATX,128,4,Black / Silver
MSI H510M PRO-E,,LGA1200,Micro ATX,64,2,Black / Silver
MSI B560M PRO-VDH,,LGA1200,Micro ATX,128,4,Black
Gigabyte GA-B250M-D3H,,LGA1151,Micro ATX,64,4,Black / Gold
Gigabyte H370 AORUS Gaming 3 WIFI,,LGA1151,ATX,64,4,Black / Orange
ASRock X570 Phantom Gaming X,,AM4,ATX,128,4,Black / Silver
Asus Q87M-E/CSM,,LGA1150,Micro ATX,32,4,Black / Gold
Asus Z170-AR,,LGA1151,ATX,64,4,Black / White
MSI H110M PRO-D,,LGA1151,Micro ATX,32,2,Black / Silver
Asus X99-A II,,LGA2011-3,ATX,128,8,Black / White
Asus PRIME B650M-A,,AM5,Micro ATX,128,4,Silver / Black
Asus H81M-PLUS,,LGA1150,Micro ATX,16,2,Black / Gold
MSI Z170A GAMING PRO CARBON,,LGA1151,ATX,64,4,Black / Silver
MSI B350M MORTAR,,AM4,Micro ATX,64,4,Black / Red
Gigabyte X670 AORUS ELITE AX (rev. 1.1),,AM5,ATX,128,4,Black
ASRock AB350 Gaming-ITX/ac,,AM4,Mini ITX,32,2,Black / Red
Asus STRIX Z270G,,LGA1151,Micro ATX,64,4,Black / Silver
Gigabyte GA-Z270P-D3,,LGA1151,ATX,64,4,Black / Gold
ASRock B365M Phantom Gaming 4,,LGA1151,Micro ATX,128,4,Black / Red
Asus ROG STRIX B450-E GAMING,,AM4,ATX,64,4,Black
Gigabyte X570S GAMING X,,AM4,ATX,128,4,Black / Silver
Gigabyte Z490 AORUS ELITE,229.99,LGA1200,ATX,128,4,Black / Silver
ASRock Fatal1ty X470 Gaming-ITX/ac,,AM4,Mini ITX,32,2,Black / Silver
Asus Q170M-C/CSM,,LGA1151,Micro ATX,64,4,Black / Gold
