name,price,rpm,noise_level,color,size
be quiet! Pure Loop 120,89.9,,"[18.9, 36.1]",Black,120.0
Cooler Master Hyper H411R,36.21,"[600, 2000]",29.4,Black / Silver,
Phanteks Glacier One 360MPH,212.99,"[500, 2200]","[18, 34.2]",Black,360.0
Vetroo V5,34.99,"[800, 1700]",30.8,Pink,
ENDORFY Fera 5,,"[250, 1800]",,Black / Silver,
Cooler Master i50,16.98,2000,28,Black / Silver,
Asus ROG STRIX LC II ARGB,149.99,"[800, 2500]",37.6,White / Black,240.0
NZXT Kraken Elite 280 RGB,269.99,"[500, 1500]",34.48,Black,280.0
Thermalright AXP120-X67,30.9,1800,26.1,White,
Corsair H100i,,2700,37.68,,240.0
Deepcool LS320,89.99,"[500, 2250]",32.9,Black,120.0
Jonsbo CR-1400,,"[900, 2300]","[20, 30.5]",Black,
Intel BXTS15A,28.99,"[1000, 3850]",,,
Cooler Master Hyper H410R RGB,,"[600, 2000]","[6, 29]",,
ARCTIC Alpine 23 CO,11.99,"[100, 2000]",,Black,
Thermaltake Floe Riing RGB 280 TT Premium Edition,67.98,"[500, 1400]","[19.8, 27.2]",,280.0
Deepcool AS500 PLUS WH,70.99,"[500, 1200]",31.5,White / Silver,
Cooler Master X Dream I117,,1800,,,
be quiet! Pure Loop 2 FX,139.9,,"[10.8, 32.8]",Black,280.0
ID-COOLING SE-914-XT,29.99,"[600, 2200]",,Black / Gray,
Corsair iCUE H115i RGB Pro XT,,2200,36,Black,280.0
Razer Hanbo Chroma,292.98,,,Black,360.0
Deepcool AG500 WH ARGB,32.98,"[300, 1850]",29.4,White,
Thermaltake Contac Silent 12,29.98,"[400, 1500]","[22.1, 28.8]",,
Deepcool AG200,,"[500, 3050]",30.5,Black / Silver,
ID-COOLING IS-55 ARGB,39.99,"[500, 2000]",31.2,Black,
EK AIO Basic 360,,"[550, 2200]",33.5,Black,360.0
Deepcool AG300,,"[500, 3050]",30.5,Black / Silver,
Thermalright Frozen Magic 360,,1500,25.6,Black,360.0
Fractal Design Celsius S36,199.11,"[500, 2000]",32.2,,360.0
Thermalright Silver Soul 135,,1850,29.6,Silver,
ID-COOLING IS-55 ARGB,34.99,"[500, 2000]",31.2,White,
Thermalright AXP90-X53,23.0,2700,22.4,Gray,
Cooler Master MasterLiquid 360L Core,119.99,"[350, 1750]",27.2,Black,360.0
Cooler Master MasterLiquid ML120R RGB,124.99,"[650, 2000]","[6, 30]",,120.0
ARCTIC Alpine 17 CO,12.99,"[250, 2700]",,Black,
Cooler Master MasterLiquid 240L Core,99.99,"[350, 1750]",27.2,Black,240.0
MSI MAG CORELIQUID C280,175.09,"[500, 1800]","[14.8, 33.28]",Black,280.0
Thermalright Frost Commander 140,54.89,1800,30.2,White,
Lian Li Galahad AIO240 (2022),209.0,"[800, 1900]",32,Black / Silver,240.0
Thermalright SI-100 WHITE ARGB,26.9,2000,27.7,White,
ARCTIC Freezer A35,30.99,"[200, 1800]",,Black / White,
be quiet! Shadow Rock 3,59.9,,"[11.5, 24.4]",White / Black,
ID-COOLING SE-914-XT ARGB,36.99,"[600, 2200]","[14, 25.8]",Black / Gray,
Phanteks Glacier One 240 T30 Gen2,189.99,"[1200, 3000]","[11.1, 39.7]",Black / Gray,240.0
Cooler Master MasterLiquid ML240R RGB,139.99,"[650, 2000]","[6, 30]",,240.0
Deepcool ASSASSIN III,,"[400, 1400]",34.2,Black / Silver,
Asus ROG STRIX LC 360 RGB White Edition,284.99,"[800, 2500]",37.6,White,360.0
Noctua NH-U12S SE-AM4,69.95,"[300, 1500]","[18.6, 22.4]",,
NZXT Kraken X52,,"[500, 2000]","[21, 36]",,240.0
Inter-Tech ALSEYE W90,35.99,3000,36.7,White / Black,
Deepcool GAMMAXX GTE V2,89.05,"[500, 1650]",27.8,White,
ARCTIC Alpine AM4,10.27,"[100, 2000]",,Black / White,
CRYORIG H7,,"[330, 1600]",25,,
Lian Li Galahad AIO360 (2022),249.0,"[800, 1900]",32,White / Silver,360.0
Thermalright Silver Soul 110,33.9,2500,23,Black,
ID-COOLING SE-225-XT,44.99,"[700, 1800]","[15.2, 35.2]",Black,
Montech METAL DT24 PREMIUM,69.0,"[800, 1950]",26,Black / Silver,
Alphacool Eisbaer Pro Aurora,243.31,,31.5,Black,420.0
Thermaltake TH420 ARGB Sync,140.99,"[500, 1800]",34.7,White,420.0
be quiet! Dark Rock Pro TR4,89.9,"[1200, 1500]","[12.8, 24.3]",Black,
ARCTIC Freezer A13 X,27.99,"[300, 2000]",,Black / White,
Antec A30,,1750,20,,
Asus ROG RYUO III 240 ARGB,209.99,2200,36.45,Black,240.0
ARCTIC Freezer i13 X,29.99,"[300, 2000]",,Black / White,
Noctua NH-L9x65 SE-AM4,89.19,"[600, 2500]","[14.8, 23.6]",,
ID-COOLING AURAFLOW X,74.98,"[700, 1800]","[18, 35.2]",Black,240.0
Asus ROG RYUJIN II ARGB,266.29,,,Black,240.0
Enermax ETS-T50 AXE ARGB,44.99,"[500, 1600]","[14, 24]",White,
Corsair H150i PRO,,1600,25,,360.0
Thermaltake TOUGHLIQUID Ultra,249.99,"[500, 2000]",33.2,Black,420.0
be quiet! Silent Loop 2 280,,1600,"[16.5, 36.1]",Black,280.0
Thermaltake TOUGHAIR 510,50.57,"[500, 2000]",23.6,Black / Gray,
Gigabyte AORUS WATERFORCE X,179.99,2300,"[8.06, 44.4]",Black,280.0
ID-COOLING DK,17.98,"[500, 1800]","[14.2, 25.6]",Black / Silver,
Deepcool CASTLE 280EX,,"[400, 1600]",39.8,Black,280.0
Fractal Design Celsius S24,175.59,"[500, 2000]",32.2,,240.0
ENDORFY Fera 5 Dual Fan,,"[250, 1800]",,Black / Silver,
ID-COOLING ZOOMFLOW 360 XT,99.99,"[500, 1500]","[13.8, 30.5]",Black,360.0
ARCTIC Freezer i35,33.99,"[200, 1800]",,Black / White,
ID-COOLING DK-03i PWM BLUE,,"[500, 1800]","[16, 20.2]",,
be quiet! Silent Loop 2 240,,2200,"[16.8, 38.3]",Black,240.0
Fractal Design Celsius+ S28 Dynamic X2 PWM,105.98,"[500, 1700]",32.7,Black,280.0
Thermalright Frost Commander 140,51.49,1800,30.2,Gray,
Antec VORTEX 360,,"[600, 2000]",31.24,Black,360.0
Cooler Master Hyper TX3 Evo,,"[800, 2200]",,,
ID-COOLING SE-207-XT SLIM SNOW,39.99,"[700, 1800]","[15.2, 35.2]",White,
TEAMGROUP SIREN GD360E,109.99,"[600, 2200]","[14.3, 35.6]",White,360.0
Enermax ETS-N31-02,24.99,"[800, 2000]",24.5,Black / Silver,
Deepcool Gammaxx L360 V2,,"[500, 1800]",30,Black / White,360.0
Thermaltake CLP0556,18.98,"[1900, 2300]",22,,
Scythe SCMG-5200BE,49.99,"[300, 1500]","[4, 28.6]",Black,
EVGA CLCx 360,264.99,,35,Black,360.0
MSI MAG CORELIQUID R,146.88,"[500, 1800]","[14.8, 33.28]",Black,280.0
CRYORIG M9a,50.37,"[600, 2200]",26.4,,
Thermalright Silver Soul 135,34.9,1850,29.6,White,
Cooler Master MasterAir MA620M,109.8,"[650, 2000]","[8, 30]",Black,
Aerocool Cylon 4,48.66,"[800, 1800]","[14, 26]",Black,
Cooler Master Hyper 212 LED Turbo White Edition,,"[600, 1600]","[9, 31]",White,
TEAMGROUP SIREN GD240E,90.99,"[600, 2200]","[14.3, 35.6]",White,240.0
Enermax Liqmax III 120 RGB,59.99,"[500, 2000]","[14, 32]",Black,120.0
MSI MAG CORELIQUID R,,"[500, 2000]","[14.3, 34.3]",Black,240.0
Cooler Master MasterLiquid PL240 FLUX,139.99,,32,Black,240.0
Gigabyte AORUS ATC800,89.99,"[600, 2000]","[18, 31]",Black,
Corsair A500,94.99,2400,36,Black / Silver,
Thermaltake TH120 ARGB Sync,139.27,1500,28.2,Black,120.0
Deepcool CASTLE 360EX,,"[500, 1800]",32.1,Black,360.0
ID-COOLING FROSTFLOW X,,"[700, 1800]","[18, 35.2]",,240.0
Thermalright AXP120-X67,33.9,1800,26.1,Gray,
Noctua NH-D15 SE-AM4,109.95,"[1200, 1500]","[19.2, 24.6]",,
Corsair H110i,299.99,2100,43,,280.0
Noctua NH-U9 TR4-SP3,88.32,"[400, 2000]","[16.3, 22.8]",,
Asus ROG RYUO III 360 ARGB WHITE EDITION,,2200,36.45,White,360.0
Cooler Master i71C RGB,,"[650, 1800]",,Black,
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"[500, 2000]",30.7,Black,420.0
Thermalright Assassin King 90,22.9,2500,27.3,Black / Silver,
Fractal Design Lumen S24 V2,,"[500, 2000]","[10, 33.2]",Black,240.0
Corsair H115i,269.99,2000,40,,280.0
Iceberg Thermal IceFLOE T95,19.99,"[1000, 2200]",32.3,Teal / Silver,
Zalman CNPS2X,17.99,"[1500, 2600]","[17.39, 22.7]",,
Jonsbo CR-1000,,"[700, 1800]","[20.55, 37.2]",White,
Cooler Master MasterLiquid 240L Core,99.99,"[350, 1750]",27.2,White,240.0
Deepcool CASTLE 240EX A-RGB,,"[500, 1800]",30,Black,240.0
Deepcool AG400 ARGB,,"[500, 2000]",31.6,Black / Silver,
Deepcool CASTLE 360EX A-RGB,,"[500, 1800]",30,White / Black,360.0
Cooler Master Hyper T20,31.78,2000,30,Black / Silver,
Corsair iCUE H60i RGB PRO XT,,2400,"[10, 37]",Black,120.0
Scythe Mugen 5 S,58.99,"[350, 1800]","[4, 22.9]",Black / Silver,
Gelid Solutions Liquid 240,85.0,"[750, 1800]",29.6,Black,240.0
Zalman CNPS10X Performa,29.99,"[700, 1500]",27,Black,
Cooler Master Hyper 622 Halo,64.98,"[650, 2050]",27,White,
Antec A40PRO,40.09,"[800, 2200]","[16, 23]",,
MSI MPG CORELIQUID K240,189.99,,"[0, 39.9]",Black,240.0
Razer Hanbo Chroma,191.96,,,Black,240.0
Thermaltake TOUGHLIQUID ARGB,139.99,"[500, 2000]",22.3,Black,360.0
Thermalright AXP-100 Full Copper,,"[900, 2500]",,Orange,
Asus ROG RYUJIN 360,,"[450, 2000]",29.7,Black,360.0
Thermalright Frost Commander 140 BLACK,,1800,30.2,Black,
Deepcool AG400 LED,,"[500, 2000]",31.6,Black / Silver,
ID-COOLING SE-207-XT SLIM,,"[700, 1800]","[15.2, 35.2]",,
Corsair H115i PRO,,1200,20.4,,280.0
Silverstone Krypton KR02,35.99,"[800, 2800]","[13.6, 34.8]",Black / Silver,
Gelid Solutions Slim Silence AM1,,"[1200, 2600]","[15, 27.2]",,
Enermax AQUAFUSION ADV 120,54.99,"[500, 2000]","[15, 32.6]",Black,120.0
ENDORFY Navis F240,124.59,"[250, 1800]",,Black,240.0
ARCTIC Liquid Freezer II 120,,"[200, 1800]",,Black,120.0
Deepcool GAMMAXX 400 XT,,"[500, 1500]",27,Black,
Scythe Big Shuriken 3 Rev.B,,"[300, 1800]","[2.58, 27.8]",Black / Silver,
Fractal Design Lumen S36 V2,193.19,"[500, 2000]","[10, 33.2]",Black,360.0
ENDORFY Navis F360,,"[250, 1800]",,Black,360.0
Noctua NH-U9B SE2,,"[1000, 1600]","[7.9, 17.6]",,
EK AIO 360 D-RGB,,"[450, 2600]",36.4,Black,360.0
Fractal Design Lumen S28 V2,267.0,"[500, 1700]","[10, 35.5]",Black,280.0
ID-COOLING SE-226-XT,59.99,"[500, 1500]","[13.8, 30.5]",Black,
MSI MAG CORELIQUID R,,"[500, 2000]","[14.3, 34.3]",Black,360.0
SilentiumPC Fortis 5,,"[300, 1400]",,Black / Silver,
Scythe Big Shuriken 3,,"[300, 1800]","[2.7, 30.4]",Black / Silver,
NZXT Kraken X72,,"[500, 2000]","[21, 36]",Black,360.0
Corsair H80i v2,,2435,37.7,,120.0
Deepcool GAMMAXX 300,,"[900, 1600]","[17.8, 21]",,
Deepcool CASTLE 360EX WHITE,,"[500, 1800]",32.1,White / Black,360.0
Deepcool GAMMAXX 400 V2,,"[500, 1650]",,Black / Red,
ID-COOLING DK-03,,1600,26.4,,
Corsair H55,,1700,30.32,,120.0
ENDORFY Fera 5 ARGB,,"[250, 1800]",,Black / Silver,
Gigabyte AORUS LIQUID COOLER,,2500,"[18, 39.5]",Black,360.0
Cooler Master Hyper 622 Halo,64.98,"[650, 2050]",27,Black,
Cooler Master MasterLiquid 240,,"[650, 2000]","[6, 30]",,240.0
be quiet! Shadow Rock Slim 2,47.9,1400,"[11.5, 23.7]",Black,
SilentiumPC Fortis 5 Dual Fan,,"[300, 1400]",,Black / Silver,
ID-COOLING AURAFLOW X,,"[700, 1800]","[18, 35.2]",Black,360.0
ID-COOLING PINKFLOW 240 Diamond,109.99,"[900, 2000]","[16.3, 33.5]",Pink,240.0
Thermalright Frost Spirit 140 V3 BLACK,,1500,25.6,Black,
Phanteks Glacier One 240MPH,,"[500, 2200]","[18, 34.2]",White / Black,240.0
Thermalright AXP90-X53,,2700,22.4,Black,
Alphacool Eisbaer Pro Aurora,259.99,,31.5,Black,360.0
MSI MPG CORELIQUID K360 V2,,,39.9,Black,360.0
Asus ROG STRIX LC II 280 ARGB,179.99,"[700, 2100]",35.7,Black,280.0
Cooler Master MasterAir MA612 Stealth,93.79,"[650, 1800]","[8, 27]",,
Mars Gaming ML-ONE,,"[600, 1800]","[9, 26]",White,120.0
Antec VORTEX 240,,"[600, 2000]",31.24,Black,240.0
Cooler Master Wraith Ripper,,,"[0, 38]",Black,
CRYORIG H7 Quad Lumi,115.8,"[330, 1600]","[10, 25]",,
Cooler Master Hyper 212X Dual Fan,50.99,2000,"[9, 36]",,
Asus ROG RYUJIN II ARGB,,,,Silver / Black,360.0
Gelid Solutions Liquid 120,,"[750, 1800]",29.6,Black,120.0
Thermaltake UX 210 ARGB,49.99,"[600, 2000]",34.3,Black / Silver,
Asus ROG STRIX LC 240 RGB White Edition,176.96,"[800, 2500]",37.6,White,240.0
EVGA CLC 120,120.0,"[500, 2400]","[16, 39.9]",,120.0
Scythe Shuriken 2,,"[300, 2500]","[1.8, 23.2]",Black / Silver,
Thermaltake TOUGHLIQUID Ultra,183.39,"[500, 2500]",28.1,Black,240.0
Cooler Master MasterAir MA624 Stealth,106.14,"[650, 1400]","[10, 27]",Black,
Montech METAL DT24 BASE,57.0,"[800, 1950]",26,Black / Silver,
Asus ROG RYUO 240 RGB,196.0,"[800, 2500]",37,Black,240.0
Enermax ETS-T50 AXE ARGB,44.99,"[500, 1600]","[14, 24]",Black,
be quiet! Pure Rock,,1500,"[19.1, 26.8]",,
ID-COOLING FROSTFLOW X 240 LITE SNOW,,"[700, 1800]","[15.2, 35.2]",White,240.0
Silverstone Hydrogon H90 ARGB,55.83,"[500, 2600]","[11.3, 34.6]",Black / Silver,
Phanteks Glacier One 280MP,205.0,"[500, 2000]","[18, 39.1]",Black / White,280.0
Noctua NH-U12DXi4,71.99,"[300, 1500]","[18.6, 22.4]",,
ID-COOLING SE-224-XT,,"[700, 1800]","[15.2, 32.5]",White,
Thermaltake TOUGHAIR 110,32.99,"[500, 2000]",23.6,Black / Silver,
Vetroo U6 Pro,59.99,"[700, 1500]","[18.1, 30.5]",Black,
Deepcool UL551 RGB,,"[500, 1800]",26.8,Black,
Fractal Design Celsius+ S36 Prisma PWM ARGB,228.7,"[500, 2000]",32.7,Black,360.0
ARCTIC Alpine 12,,"[100, 2000]",,Black / White,
Deepcool GAMMAXX 400 XT,,"[500, 1500]",27,White,
ARCTIC Freezer A35 CO,35.94,"[200, 1800]",,Black / Silver,
Cooler Master MasterLiquid ML360 Mirror,239.0,"[650, 1800]","[8, 27]",Black,360.0
NZXT Kraken X62 Rev 2,,"[500, 1800]","[21, 38]",,280.0
Silverstone Hydrogon D120 ARGB V2,73.4,,"[0, 30.5]",Black / Silver,
Thermalright Assassin King 120,,1500,25.6,White / Silver,
ID-COOLING SE-224-XT BLACK V2,,"[700, 1800]","[15.2, 35.2]",,
ID-COOLING FROSTFLOW X,,"[700, 1800]","[18, 35.2]",,120.0
Cooler Master MasterAir MA410M,79.99,"[650, 1800]","[6, 31]",Black,
EVGA CLC 360,,"[500, 2400]","[16, 39.9]",Black,360.0
Deepcool AS500,,"[500, 1200]",29.2,Black / Silver,
RAIJINTEK EOS 240 RBW,59.99,"[800, 1800]",28,Black,240.0
Thermaltake TOUGHLIQUID Ultra,199.99,"[500, 2000]",33.2,Black,280.0
Thermaltake Water 3.0 360 ARGB Sync Edition,183.25,"[500, 1500]",25.8,Black,360.0
Thermalright Frost Spirit 140,,1500,25.6,Gray,
Deepcool LE300,,"[500, 2250]",,Black,120.0
Enermax AQUAFUSION ADV 240,85.99,"[500, 2000]","[15, 32.6]",Black,240.0
Corsair H105,,"[800, 2700]",37.7,,240.0
ID-COOLING ZOOMFLOW 360 XT SNOW,,"[500, 1500]","[13.8, 30.5]",White,360.0
Cooler Master Hyper 212 LED,63.79,"[600, 1600]","[9, 31]",,
ID-COOLING IS-50X V2,,"[500, 2000]","[13.8, 31.2]",Black / Gray,
Deepcool GAMMAXX 400 EX,,"[500, 1500]",27.6,Black,
MSI MPG CORELIQUID K360,,,39.9,Black,360.0
EK AIO 120 D-RGB,,"[450, 2600]",36.4,Black,120.0
ARCTIC Freezer 34 eSports,,"[200, 2100]",,White / Black,
Asus ROG Ryujin III,,"[450, 2000]",29.7,Black,240.0
Phanteks Glacier One 240 T30,226.74,"[1200, 3000]","[11.1, 39.7]",Gray,240.0
be quiet! Silent Loop 2 120,124.59,2200,"[16.6, 36.4]",Black,120.0
Asus ROG Ryujin 240 RGB AIO,205.79,"[450, 2000]",29.7,Black,240.0
Deepcool Castle 240 RGB V2,,"[500, 1800]",30,Black,240.0
Scythe Mugen 5 Black Edition,,"[300, 1500]","[4, 29.75]",Black,
Cooler Master MasterLiquid LC240E RGB,,"[650, 1800]",31.5,Black,240.0
Thermaltake TOUGHLIQUID ARGB,119.99,"[500, 2000]",22.3,Black,240.0
ARCTIC Freezer 50,60.41,"[200, 1800]",,Black,
GAMDIAS BOREAS E1,34.98,"[800, 2000]","[10, 31]",Black / Silver,
ID-COOLING PINKFLOW 360,,"[900, 2000]","[16.3, 33.5]",Pink,360.0
Deepcool GAMERSTORM CAPTAIN 240X,,"[500, 1800]",32.1,Black,240.0
Fractal Design Celsius S36 Blackout,270.81,"[500, 2000]",32.2,Black,360.0
Mars Gaming ML-ONE,,"[600, 1800]","[9, 26]",Black,120.0
CRYORIG C7,,"[600, 2500]",30,,
Asus ROG STRIX LC 120 RGB,129.49,"[800, 2500]",37.6,Black,120.0
Thermaltake TOUGHAIR 510,44.99,"[500, 1200]",23.6,Green,
MSI MAG CORELIQUID B,,"[500, 2000]","[14.3, 34.3]",Black,240.0
Cooler Master Hyper 212X,,"[600, 2000]","[9, 36]",,
be quiet! Dark Rock 3,,"[400, 1400]","[8.4, 21.1]",,
Deepcool CASTLE 240EX,,"[500, 1800]",32.1,Black,240.0
ID-COOLING AURAFLOW X 240 EVO SNOW,,"[700, 1800]","[18, 35.2]",White,240.0
Phanteks Glacier One 240MP,,"[500, 2200]","[18, 34.2]",Black / White,240.0
Lian Li Galahad AIO240 (2022),209.0,"[800, 1900]",32,White / Silver,240.0
Enermax ETS-F40-FS,44.99,"[300, 1200]","[10, 23]",White,
Cooler Master Hyper T2,,2800,"[17, 35]",,
EVGA CLC 240,,"[500, 2400]","[16, 39.9]",,240.0
Intel BXXTS100H,,"[800, 1800]","[20, 35]",,
Cooler Master i70C,24.99,"[650, 1800]",28,Black / Silver,
Thermaltake TOUGHAIR 310,31.99,"[500, 2000]",23.6,Black / Gray,
Enermax ETS-F40-FS,34.99,"[300, 1200]","[10, 23]",Black,
ARCTIC Freezer i35 CO,38.93,"[200, 1800]",,Black / Silver,
Cooler Master Hyper 212 LED Turbo (Red),71.98,"[300, 1600]","[9, 31]",,
Alpenföhn Dolomit,,"[500, 2200]",23.8,Black,
Deepcool AG400 PLUS,,"[500, 2000]",,Black / Silver,
Iceberg Thermal IceSLEET G6 Stealth,64.99,"[600, 1400]",26,Black / Blue,
NZXT Kraken X42,,"[500, 1800]","[21, 38]",,140.0
Thermaltake TOUGHAIR 510,56.99,"[500, 1200]",23.6,Teal,
Silverstone AR12-TUF,45.99,"[300, 2200]","[6.2, 34.4]",Black / Orange,
Alpenföhn BEN NEVIS,,"[400, 1600]","[8, 20.2]",,
Fractal Design Celsius+ S28 Prisma PWM ARGB,119.99,"[500, 1700]",34.1,Black,280.0
Scythe Mugen 5 PCGH Edition,,"[300, 800]","[4, 14.5]",Silver / Black,
Asus TUF Gaming LC 120 ARGB,,"[800, 2000]",,Black,120.0
Xilence M705D,,"[700, 1600]","[18, 32.5]",Black,
Thermalright SI-100,,2000,27.7,Gray,
Phanteks Glacier One 280MPH,,"[500, 2200]","[18, 39.1]",Black,280.0
Cooler Master MasterLiquid 120,,"[650, 2000]","[6, 30]",,120.0
ARCTIC Freezer 50 TR,66.98,"[200, 1800]",23.5,Black,
Cooler Master i70,19.98,1800,28,Black / Silver,
ARCTIC Liquid Freezer II 360 RGB,,"[200, 1800]",22.5,Black / Gray,360.0
Thermaltake Water 3.0 240 ARGB Sync,,"[500, 1500]",25.8,Black,240.0
Cooler Master MasterLiquid ML240 Mirror,,"[650, 1800]","[8, 27]",Black,240.0
GAMDIAS CHIONE M2,94.9,"[800, 1800]",,Black,240.0
ID-COOLING AURAFLOW X 240 EVO,,"[700, 1800]","[18, 35.2]",Black,240.0
Deepcool GAMMAXX L360 A-RGB,,"[500, 1800]",30,White,360.0
Cooler Master MasterAIR G200P,,"[800, 2000]","[6, 28]",Black / Silver,
Corsair H60,,,30.2,,120.0
NZXT Kraken X61,,"[800, 2000]","[20, 37]",,280.0
ID-COOLING SE-224-XT ARGB V3,,"[500, 1500]","[13.8, 30.5]",,
Deepcool GAMMAXX L240 A-RGB,,"[500, 1800]",30,White,240.0
ID-COOLING PINKFLOW 240 V2,,"[900, 2000]","[16.3, 33.5]",Pink,240.0
Jonsbo HX4170D,39.0,"[600, 3300]",28.4,Black,
Fractal Design Celsius+ S24 Dynamic X2 PWM,,"[500, 2000]",32.2,Black,240.0
ARCTIC Alpine 12 CO,19.25,"[100, 2700]",,Black / Gray,
Jonsbo HX6200D,47.0,"[700, 1800]","[18.6, 29.7]",Black,
Deepcool LS320 WH,89.99,"[500, 2250]",32.9,White,120.0
Alphacool Eisbaer Extreme,271.67,1000,18.8,Black,280.0
Alphacool Eisbaer Aurora 420,212.94,"[600, 1500]",,Black,420.0
Silverstone Krypton KR01,32.99,"[800, 3000]",33,Black / Silver,
Thermaltake Water 3.0 120 ARGB Sync,,"[500, 1500]",25.8,Black,120.0
Cooler Master Hyper 620S,45.98,"[350, 1750]",27.2,Black / Silver,
MSI CORE FROZR L,,"[500, 1800]","[17.2, 33.6]",,
ENDORFY Navis F280,360.0,"[250, 1800]",,Black,280.0
Alpenföhn Dolomit Premium,79.48,"[500, 1600]",23.5,Black,
ID-COOLING IS-40X,29.99,"[600, 2500]","[14, 33]",Black / White,
Cooler Master MASTERLIQUID PL240 FLUX,169.34,,32,White,240.0
ARCTIC Freezer 7 Pro Rev.2,,"[900, 2500]",,,
Noctua NH-L9a,,2500,,,
ARCTIC Liquid Freezer II 240 RGB,122.91,"[200, 1800]",22.5,Black,240.0
EVGA ACX mITX,33.36,"[800, 2800]",33.4,,
Corsair H80i,,2700,37.68,,120.0
Deepcool GAMMAXX L120,,"[500, 1800]",17.8,Black,120.0
ARCTIC Freezer A35 RGB,37.94,"[200, 1700]",,Black,
Deepcool AG620 WH ARGB,,"[300, 1850]",29.4,White,
ID-COOLING FROSTFLOW X,,"[700, 1800]","[18, 35.2]",,360.0
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
Jonsbo HX7280,76.99,"[700, 1800]","[28, 38]",Black,
MSI MPG CORELIQUID K240 V2,242.59,,39.9,Black,240.0
Thermaltake Floe Riing RGB 360 TT Premium Edition,187.99,"[500, 1400]","[19.8, 24.7]",,360.0
SilentiumPC Fera 5,,"[300, 1800]",,Black / Silver,
darkFlash Darkair,,"[800, 1600]",,Black,
Fractal Design Celsius+ S24 Prisma PWM ARGB,,"[500, 2000]",32.7,Black,240.0
Cooler Master Hyper T200,,"[800, 2200]",31,,
Thermaltake UX200 ARGB,39.99,"[300, 1500]",26.33,Black,
Deepcool Castle 360 RGB V2,,"[500, 1800]",30,Black,360.0
Montech AIR COOLER 210,,"[600, 1500]",27,Black,
Corsair H100,,1500,"[18, 26.5]",Black,240.0
Deepcool AG620 ARGB,,"[300, 1850]",29.4,Black / Silver,
Azza Blizzard SP 240,329.0,"[700, 2200]",36,Black,240.0
Cooler Master MasterLiquid ML120L RGB,,"[650, 2000]","[6, 30]",,120.0
Corsair H100i GTX,296.98,2435,37.7,,240.0
Alphacool Eisbaer LT240,131.08,"[550, 1700]",29,Black,240.0
GameMax Iceberg 240,,"[600, 1800]","[25, 32]",Black,240.0
Corsair H75,,2000,31.4,,120.0
Cooler Master MasterAir MA610P ARGB,,"[650, 1800]","[8, 27]",,
EK AIO Elite 280 D-RGB,206.99,"[550, 2200]",36.4,Black,280.0
ARCTIC Freezer i35 RGB,41.2,"[200, 1700]",,Black,
Corsair H50,199.95,1700,30.32,,120.0
Noctua NH-L12,,"[1200, 1600]","[13.1, 22.4]",,
EVGA CLCx 240,215.49,,35,Black,240.0
Silverstone VIDA 240 SLIM,114.69,"[300, 1800]","[15.9, 33.9]",Black,240.0
Alphacool Eisbaer Pro Aurora,208.2,,31.5,Black,280.0
ARCTIC Freezer 34,,"[200, 1800]",,Black / Silver,
be quiet! Dark Rock Pro 3,,"[1400, 1700]","[13.2, 26.1]",,
Asus ROG Ryujin III ARGB,,"[600, 2200]",36.45,Black,240.0
TEAMGROUP SIREN GD240E,90.99,"[600, 2200]","[14.3, 35.6]",Black,240.0
Cooler Master Hyper TX3 EVO,41.71,"[800, 2800]","[17, 35]",,
Fractal Design Celsius S24 Blackout,,"[500, 2000]",32.2,Black,240.0
ARCTIC Alpine 12 LP,,"[100, 2000]",,Black / White,
Cooler Master MasterAir G100M RGB,79.54,"[600, 2400]",30,Black / Multicolor,
Deepcool GAMMAXX GTE,,"[500, 1500]",27,Black / Silver,
GAMDIAS CHIONE M3,,"[800, 2000]",,White,240.0
Enermax AQUAFUSION ADV,79.99,"[500, 2000]","[17, 32.6]",White,120.0
Corsair H80i GT,415.58,2435,37.7,,120.0
GameMax Ice Chill 240,75.98,"[800, 1900]",28.8,Black,240.0
Mars Gaming ML-ONE,,"[600, 1800]","[9, 26]",Pink,120.0
ARCTIC Freezer 34 eSports,44.99,"[200, 2100]",,Yellow / Black,
Cooler Master Hyper 212 LED White Edition,75.93,"[600, 1600]","[9, 31]",,
Fractal Design Lumen S36 RGB,,"[500, 2000]","[10, 33.2]",Black,360.0
Deepcool Ice Edge Mini FS V2.0,,2200,24.7,,
Cooler Master Hyper 212 LED Turbo (Black),,"[600, 1600]","[9, 31]",,
Jonsbo CR-1000 GT,,"[700, 1800]","[20.55, 37.2]",Black,
CRYORIG C7 Cu,98.99,"[600, 2500]",30,White / Orange,
Noctua NH-U12S TR4-SP3,88.32,"[300, 1500]","[18.6, 22.4]",,
Enermax AQUAFUSION ADV,99.99,"[500, 2000]","[17, 32.6]",White,240.0
ARCTIC Freezer 50 (w/Controller),71.83,"[200, 1800]",,Black,
Deepcool GAMMAXX 400 Blue,,"[900, 1500]","[17.8, 30]",Blue / Silver,
ID-COOLING FROSTFLOW 240 XT SNOW,,"[700, 1800]","[15.2, 35.2]",White,240.0
Akasa Vegas Chroma AM,,"[500, 1800]",32.5,Black,
ARCTIC Freezer 13,,"[600, 2000]",,,
Cooler Master Seidon 120V,,2400,"[19, 40]",,120.0
upHere C92,,"[800, 1800]","[15.1, 31.6]",Black / Red,
