name,price,rpm,noise_level,color,size
ARCTIC Freezer 34 eSports DUO,45.9,"[200, 2100]",24.4,White / Black,
Deepcool AK400 ZERO DARK,35.98,"[500, 1850]",29,Black,
Noctua NH-U9S chromax.black,69.95,"[400, 2000]","[16.3, 22.8]",Black,
Deepcool LT720 WH,139.99,"[500, 2250]",32.9,White,360.0
Noctua NH-D15S chromax.black,109.95,"[300, 1500]","[19.2, 24.6]",Black,
Noctua NH-U12S redux,54.95,"[450, 1700]",25.1,Gray / Silver,
NZXT Kraken 360,169.99,"[500, 1800]","[17.9, 30.6]",Black,360.0
Noctua NH-L12S,,"[450, 1850]","[16.8, 23.9]",,
NZXT Kraken X53 RGB,149.99,"[500, 1500]","[22, 33]",White / Black,240.0
Corsair iCUE H170i ELITE LCD XT,309.99,"[500, 1700]","[5, 33.8]",Black,420.0
Corsair iCUE H100x RGB ELITE,,1500,"[7, 28]",Black,240.0
MSI MAG CORELIQUID 360R V2,124.99,"[500, 2000]","[14.3, 34.3]",Black,360.0
Noctua NH-L9x65,59.95,"[600, 2500]","[14.8, 23.6]",,
Deepcool LS520,109.49,"[500, 2250]",32.9,Black,240.0
Noctua NH-L9a-AM4,44.95,"[600, 2500]","[14.8, 23.6]",Brown,
NZXT Kraken 120,89.99,"[500, 2000]","[21, 36]",Black,120.0
Cooler Master Hyper 212 EVO,,"[600, 2000]","[9, 36]",,
Thermalright Assassin King SE ARGB,21.9,1550,25.6,White,
ARCTIC Liquid Freezer II 240 A-RGB,105.99,"[200, 1800]",22.5,Black / Gray,240.0
MSI MAG CORELIQUID P240,89.99,"[500, 2000]","[14.3, 34.3]",Black,240.0
NZXT Kraken X53 RGB,164.99,"[500, 1500]","[22, 33]",Black,240.0
NZXT Kraken Elite 360,279.99,"[500, 1800]","[17.9, 30.6]",Black,360.0
ARCTIC Liquid Freezer II 420,151.99,"[200, 1700]",,Black,420.0
Corsair iCUE H150i ELITE CAPELLIX,378.0,2400,"[10, 37]",White,360.0
Deepcool AK500 ZERO DARK,49.99,"[500, 1850]","[25.9, 31.5]",Black,
NZXT Kraken Z53,234.99,"[500, 2000]","[21, 36]",Black,240.0
NZXT T120 RGB,49.99,"[500, 1800]","[17.2, 27.5]",Black,
Thermalright Peerless Assassin 120 White,50.9,1550,25.6,White,
be quiet! Pure Rock 2,39.9,1500,"[19.1, 26.8]",Silver / Black,
Vetroo V5,34.99,"[800, 1700]",30.8,White,
Noctua NH-U12A,119.95,"[450, 2000]","[18.8, 22.6]",Brown,
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,179.7,"[800, 1900]",32,White / Silver,240.0
ARCTIC Freezer 7 X,24.89,"[300, 2000]",22.5,Black / White,
Cooler Master MasterLiquid ML240L ARGB V2,109.99,"[650, 1800]","[8, 27]",Black,240.0
ID-COOLING FROSTFLOW X,59.99,"[800, 1600]","[16.8, 32.6]",Black / Silver,280.0
NZXT Kraken 240 RGB,159.99,"[500, 1800]","[17.9, 30.6]",Black,240.0
NZXT Kraken 280,149.99,"[500, 1500]","[19.4, 32.1]",Black,280.0
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"[600, 2500]","[14.8, 23.6]",Black,
be quiet! Pure Rock 2 FX,52.9,,"[7.9, 24.4]",Black,
Noctua NH-L9i-17xx,44.95,"[600, 2500]","[14.8, 23.6]",Brown / Beige,
Corsair iCUE H115i RGB ELITE,144.99,"[400, 1600]","[19, 35.8]",Black,280.0
Deepcool LT520 WH,109.99,"[500, 2250]",32.9,White,240.0
Cooler Master Hyper 212 EVO V2,38.99,"[650, 1800]","[8, 27]",,
